advisor,performance_period,advisor_event_indicator,sf_face_2_face,sf_call_outbound,sf_call_inbound,sf_email_inbound,channel,primary_prod_sold,sf_email_campaigns,advisor_hh_children,annuity_mkt_opp,advisor_advising_years,advisor_aum,advisor_annuity_selling_years,advisor_age,advisor_net_worth,advisor_credit_hist_mos,advisor_firm_changes,advisor_credit_score,wholesaler,region,sf_email_responses,id_activity_last_6mos,id_top_producer,id_strategic_partner,region_char,wholesaler_char,channel_char,primary_prod_sold_char
1665,0,0,1,0,0,0,0,1,1,6,57399110,3,532305,1,39,103292,85,5,761,15,6,0,false,false,false,MidWest,Ojj,bank,va
1666,0,0,1,1,1,0,0,0,0,1,613831175,3,1479760,1,41,60305,90,4,791,13,7,4,false,false,true,West,Mambwe,bank,fixed
1667,0,0,0,0,1,1,1,0,4,4,2290094347,7,977923,1,43,116334,84,6,706,14,5,2,true,false,false,South,Noth,wirehouse,fixed
1668,0,0,0,1,1,1,0,1,0,1,371692415,11,8018825,22,69,161885,89,6,753,11,1,3,false,false,false,New York,Kanumba,bank,va
1669,0,0,0,0,0,0,0,0,2,4,42018836,6,14878,1,43,197643,56,3,521,7,5,4,false,false,false,South,Griegio,bank,fixed
1670,0,0,1,1,1,1,2,1,4,3,807837180,3,296246,1,26,221265,82,6,735,5,3,2,false,false,true,Texas,English,ria,va
1671,0,0,0,0,1,0,0,1,4,4,14925401,1,285596,1,30,576067,7,5,742,22,5,2,false,false,false,South,Vasquez,bank,va
1672,0,0,1,0,1,0,0,1,1,4,70386465,7,340371,1,47,134183,95,6,707,1,2,0,false,false,false,Florida,Abbott,bank,va
1673,0,0,0,1,1,0,1,1,1,1,625325770,15,401915,1,56,202157,63,4,759,5,1,0,false,false,false,New York,English,wirehouse,va
1674,0,0,0,0,0,1,0,1,4,0,919064910,15,1261027,1,41,302757,91,3,849,5,1,3,false,false,false,New York,English,bank,va
1675,0,0,1,1,1,0,0,0,4,5,454315591,2,308401,1,39,241257,88,4,770,22,4,1,false,false,false,NE,Vasquez,bank,fixed
1676,0,0,0,1,0,1,1,0,6,5,752144303,8,935219,1,50,228038,96,5,554,6,1,2,false,false,false,New York,Funderburk,wirehouse,fixed
1677,0,0,0,0,1,1,0,1,2,2,449907912,9,265457,20,32,112837,92,6,647,9,4,2,false,false,true,NE,Ingrid,bank,va
1678,0,0,0,1,1,0,1,1,2,2,92913980,12,3826315,1,56,193346,65,3,813,17,1,1,false,false,false,New York,Quigley,wirehouse,va
1679,0,0,1,1,1,0,0,0,4,0,438530209,2,1461478,1,20,217062,86,2,849,12,4,4,false,false,true,NE,Lula,bank,fixed
1680,0,0,1,0,1,0,1,1,5,3,583754022,2,1445656,19,29,375331,66,5,714,21,3,3,false,false,true,Texas,Underwood,wirehouse,va
1681,0,0,0,1,1,1,0,1,1,3,64600108,6,208037,1,39,100562,52,5,621,23,0,1,false,false,false,California,Werner,bank,va
1682,0,0,1,1,1,1,0,0,5,2,70938072,9,538471,3,34,51955,72,4,702,24,6,0,false,false,false,MidWest,Xavier,bank,fixed
1683,0,0,0,0,0,1,0,1,3,2,772717921,3,1431742,1,23,159202,88,4,774,4,2,3,false,false,true,Florida,Devon,bank,va
1684,0,0,0,0,1,0,0,0,4,7,235192901,7,1959527,1,54,192888,84,4,693,20,1,0,false,false,false,New York,Tavares,bank,fixed
1685,0,0,1,1,1,0,0,1,6,6,633100096,12,1556842,1,22,262830,82,2,774,11,4,2,false,true,true,NE,Kanumba,bank,va
1686,0,0,0,1,1,0,0,1,1,1,93363123,6,1952760,4,27,59296,89,5,766,9,1,1,false,false,false,New York,Ingrid,bank,va
1687,0,0,1,1,0,1,0,1,5,2,886034970,8,410394,1,22,118396,99,4,801,3,0,2,false,false,true,California,Chatterji,bank,va
1688,0,0,0,0,1,1,0,0,6,3,858634302,2,1715217,1,36,92000,84,6,538,5,3,0,false,false,true,Texas,English,bank,fixed
1689,0,0,0,0,0,0,0,0,6,3,885579315,8,161750,6,57,253552,82,2,435,17,6,2,false,false,false,MidWest,Quigley,bank,fixed
1690,0,0,0,1,0,0,0,0,7,4,3673674575,10,501930,1,40,345101,62,1,704,16,0,2,false,false,true,California,Patel,bank,fixed
1691,0,0,0,0,0,1,0,1,0,7,412543806,11,412700,4,27,229974,62,6,777,1,4,3,false,false,false,NE,Abbott,bank,va
1692,0,0,0,1,1,0,0,1,2,1,3443211449,5,5770364,14,39,203963,86,5,780,23,1,2,false,false,true,New York,Werner,bank,va
1693,0,0,1,1,0,0,0,0,6,5,33919838,12,81211,1,41,339363,66,2,781,12,6,2,false,false,false,MidWest,Lula,bank,fixed
1694,0,0,0,0,1,1,0,1,3,3,550883366,12,1204396,1,21,491374,84,5,669,2,5,3,false,false,false,South,Bost,bank,va
1695,0,0,0,1,1,0,2,1,3,5,96433116,10,951823,1,37,202934,10,4,799,15,6,4,false,false,true,MidWest,Ojj,ria,va
1696,0,0,0,1,0,1,0,1,3,2,489708615,4,434791,1,31,118971,92,5,769,7,2,1,false,false,true,Florida,Griegio,bank,va
1697,0,0,0,0,1,0,0,1,5,3,843226312,24,17145,1,72,331066,89,5,839,23,5,1,false,false,false,South,Werner,bank,va
1698,0,0,0,1,1,0,0,0,5,0,2164120094,9,13290,1,19,89893,60,4,766,12,0,2,false,false,false,California,Lula,bank,fixed
1699,0,0,0,1,1,0,0,1,4,5,120656347,9,364741,1,32,277354,86,1,716,9,0,0,false,false,false,California,Ingrid,bank,va
1700,0,0,0,0,1,1,0,0,4,4,3299310253,5,979811,1,40,299623,85,5,760,20,0,1,false,false,false,California,Tavares,bank,fixed
1701,0,0,0,1,1,1,0,1,6,0,20606459,18,23660,1,29,770492,82,4,799,9,0,4,false,false,false,California,Ingrid,bank,va
1702,0,0,0,0,1,0,0,1,4,1,2223162027,12,1841407,2,36,336230,85,2,799,17,4,4,true,false,true,NE,Quigley,bank,va
1703,0,0,1,0,1,0,0,1,3,1,723399124,82,362603,4,70,228191,84,4,824,7,7,2,false,false,false,West,Griegio,bank,va
1704,0,0,0,0,0,0,0,1,2,4,194627844,3,40918,1,63,368612,86,6,789,8,5,0,false,false,false,South,Hassan,bank,va
1705,0,0,1,0,1,0,0,1,3,5,80014892,4,5989203,1,20,185405,89,4,808,6,2,0,false,false,false,Florida,Funderburk,bank,va
1706,0,0,0,1,1,1,0,1,3,4,3935889595,4,6298434,1,26,64412,92,0,723,13,2,4,false,false,false,Florida,Mambwe,bank,va
1707,0,0,1,1,0,1,0,1,2,3,294817916,12,1671990,1,30,297227,90,4,651,15,1,5,false,true,false,New York,Ojj,bank,va
1708,0,0,0,0,1,0,0,1,2,1,4775093065,3,117992,3,27,235323,92,4,791,5,3,4,false,false,false,Texas,English,bank,va
1709,0,0,0,1,0,0,1,1,0,7,423253031,5,8835147,1,39,278407,92,2,759,11,4,5,false,false,false,NE,Kanumba,wirehouse,va
1710,0,0,1,1,1,1,0,0,3,0,501180746,13,2460531,1,31,468506,81,5,823,13,2,5,false,false,true,Florida,Mambwe,bank,fixed
1711,0,0,0,1,1,1,1,1,1,1,3427298930,2,1413054,1,55,160080,57,4,823,10,5,0,false,false,false,South,Jasper,wirehouse,va
1712,0,0,0,1,1,1,0,1,3,1,4625484649,1,1224724,1,22,150206,92,4,751,21,5,0,false,false,true,South,Underwood,bank,va
1713,0,0,1,0,1,1,0,1,1,5,851788910,4,64247,1,39,61664,97,2,742,16,3,4,false,false,false,Texas,Patel,bank,va
1714,0,0,0,1,1,1,0,1,3,5,950848556,10,1429687,1,20,442671,97,3,814,14,7,2,false,false,false,West,Noth,bank,va
1715,0,0,0,0,0,1,1,1,2,1,456049590,9,300043,1,37,333614,86,5,737,13,3,0,false,false,false,Texas,Mambwe,wirehouse,va
1716,0,0,1,1,1,1,0,1,6,4,58678636,32,66092,1,63,51389,54,4,607,24,7,1,false,false,false,West,Xavier,bank,va
1717,0,0,0,1,0,0,0,1,1,4,472045682,8,1477462,1,35,785998,82,4,732,19,3,0,false,false,false,Texas,Szu,bank,va
1718,0,0,1,1,1,0,1,0,4,3,357609625,8,388233,1,30,134776,82,3,778,22,1,2,false,false,false,New York,Vasquez,wirehouse,fixed
1719,0,0,1,1,0,0,0,1,1,2,668903293,18,78260,4,66,128729,92,6,782,25,5,4,false,false,false,South,Yang,bank,va
1720,0,0,0,1,1,1,0,0,3,6,1332171431,12,727139,1,56,177180,87,5,577,6,3,1,false,false,true,Texas,Funderburk,bank,fixed
1721,0,0,0,1,1,0,0,1,1,6,955972892,10,483509,1,61,271818,91,6,706,9,0,0,false,false,false,California,Ingrid,bank,va
1722,0,0,1,1,1,0,1,0,0,2,2360270145,10,523201,1,25,166088,96,3,745,6,2,5,false,false,false,Florida,Funderburk,wirehouse,fixed
1723,0,0,0,0,0,1,0,1,6,4,2929934033,19,441006,3,33,137361,84,5,815,22,5,3,false,false,true,South,Vasquez,bank,va
1724,0,0,0,1,1,0,0,1,1,5,23953957,20,8675817,1,49,151949,64,6,781,25,2,7,false,false,false,Florida,Yang,bank,va
1725,0,0,1,1,0,0,0,1,1,6,919915962,9,3209786,1,55,155872,92,6,784,1,3,2,false,false,false,Texas,Abbott,bank,va
1726,0,0,0,0,0,1,0,1,2,1,34554102,19,160159,1,51,248030,38,4,723,1,0,0,false,false,false,California,Abbott,bank,va
1727,0,0,0,0,1,0,0,1,3,2,2483228094,3,230794,1,63,187103,39,6,613,16,4,5,false,false,false,NE,Patel,bank,va
1728,0,0,1,1,0,0,0,0,4,0,899673993,2,410971,1,41,760040,74,4,809,6,6,4,false,false,false,MidWest,Funderburk,bank,fixed
1729,0,0,1,1,1,0,1,1,2,3,11151920,1,1651036,9,57,709435,86,4,755,22,7,2,true,false,false,West,Vasquez,wirehouse,va
1730,0,0,0,0,1,0,0,0,1,3,227505708,9,1474252,1,70,137533,93,5,611,4,5,0,false,false,true,South,Devon,bank,fixed
1731,0,0,1,1,1,0,1,1,2,0,383832152,17,265,1,21,152324,86,5,807,9,1,5,false,false,false,New York,Ingrid,wirehouse,va
1732,0,0,1,0,1,0,0,1,2,6,4418018183,10,1709515,1,21,158853,93,4,754,13,0,6,false,false,false,California,Mambwe,bank,va
1733,0,0,0,0,1,1,1,1,3,4,988193596,10,491302,1,45,308121,10,6,849,15,1,0,true,false,false,New York,Ojj,wirehouse,va
1734,0,0,0,0,0,0,2,1,2,7,52083019,1,951808,1,40,91147,94,2,803,23,0,0,false,false,false,California,Werner,ria,va
1735,0,0,0,1,0,0,0,1,5,0,807267457,11,4910771,1,47,130204,62,0,712,8,1,3,false,false,false,New York,Hassan,bank,va
1736,0,0,1,1,1,0,1,1,5,6,494522498,7,1648825,3,20,214613,82,4,756,15,3,2,false,false,false,Texas,Ojj,wirehouse,va
1737,0,0,1,1,0,0,0,1,3,4,872235018,16,2143003,1,66,474857,84,4,774,10,6,2,false,false,true,MidWest,Jasper,bank,va
1738,0,0,0,1,0,1,0,1,4,0,679951958,5,496227,1,39,82411,96,4,710,12,1,2,false,false,false,New York,Lula,bank,va
1739,0,0,0,1,0,1,0,1,2,3,3779969073,6,45620,29,22,233683,83,3,573,7,4,1,false,false,false,NE,Griegio,bank,va
1740,0,0,0,0,0,1,1,1,4,0,1302526222,5,58206,1,21,525845,89,6,756,22,1,2,false,false,false,New York,Vasquez,wirehouse,va
1741,0,0,0,1,1,0,0,1,0,7,1400391631,12,1017788,1,41,290480,84,3,776,11,6,2,true,false,true,MidWest,Kanumba,bank,va
1742,0,0,0,1,1,1,0,1,3,6,4941419392,8,23818,1,25,659224,76,2,825,23,3,5,false,false,true,Texas,Werner,bank,va
1743,0,0,0,0,0,0,0,0,2,2,79243527,4,5497246,1,21,311557,89,5,614,15,1,5,false,false,false,New York,Ojj,bank,fixed
1744,0,0,1,1,1,1,0,1,4,4,461081675,15,7730829,2,36,192833,98,3,697,6,2,3,false,false,true,Florida,Funderburk,bank,va
1745,0,0,0,0,1,0,0,1,3,0,51406425,12,1547396,1,38,82348,97,4,782,8,1,2,false,false,false,New York,Hassan,bank,va
1746,0,0,0,0,0,0,0,0,2,5,675129535,10,1780364,1,30,432968,97,5,829,4,6,3,false,false,false,MidWest,Devon,bank,fixed
1747,0,0,0,1,1,0,0,1,3,2,150991668,8,1082914,1,38,344056,57,0,773,17,1,3,false,false,true,New York,Quigley,bank,va
1748,0,0,1,1,1,1,0,1,3,0,2081626803,2,586263,1,28,244158,41,0,507,4,1,1,false,false,false,New York,Devon,bank,va
1749,0,0,0,1,1,0,0,1,0,3,370432420,1,1315076,1,39,174903,35,1,742,25,3,4,false,false,false,Texas,Yang,bank,va
1750,0,0,0,0,1,1,0,0,6,6,4207517282,3,953717,1,24,144191,88,4,640,22,7,2,false,false,false,West,Vasquez,bank,fixed
1751,0,0,1,1,1,0,1,1,4,7,430534279,6,94546,1,77,153321,99,5,723,23,4,5,false,true,false,NE,Werner,wirehouse,va
1752,0,0,0,1,1,1,0,1,5,3,61977466,14,7809008,1,50,367355,59,3,761,15,1,0,false,false,false,New York,Ojj,bank,va
1753,0,0,1,1,1,1,0,1,1,4,596601794,15,51567,1,30,286324,24,6,776,23,4,3,false,false,false,NE,Werner,bank,va
1754,0,0,1,1,1,0,0,1,4,2,1110733512,9,424737,1,78,247187,83,4,624,15,4,1,false,true,true,NE,Ojj,bank,va
1755,0,0,0,1,1,1,0,1,7,3,1511418718,4,210427,3,74,382090,90,6,809,24,0,5,false,false,false,California,Xavier,bank,va
1756,0,0,0,1,0,1,1,0,3,3,2376250372,12,936543,1,45,126665,95,4,762,6,3,2,false,false,true,Texas,Funderburk,wirehouse,fixed
1757,0,0,0,1,1,0,1,0,2,4,3943340438,5,1702206,1,51,908033,56,3,747,10,4,2,false,false,true,NE,Jasper,wirehouse,fixed
1758,0,0,0,1,0,0,1,0,5,0,811678723,9,775604,1,31,153224,100,4,781,12,3,2,false,false,false,Texas,Lula,wirehouse,fixed
1759,0,0,0,1,0,1,2,1,2,0,293578692,62,49313,1,44,138156,61,5,577,2,3,3,false,false,true,Texas,Bost,ria,va
1760,0,0,1,1,1,0,1,1,4,7,256925235,1,78564,1,29,489068,65,6,670,10,4,1,false,false,false,NE,Jasper,wirehouse,va
1761,0,0,1,1,1,0,0,1,4,0,371136467,73,2603945,1,68,184918,92,3,750,15,3,3,false,false,false,Texas,Ojj,bank,va
1762,0,0,0,1,1,0,1,1,3,1,930469190,52,8901160,1,38,220928,96,4,710,17,0,1,false,false,true,California,Quigley,wirehouse,va
1763,0,0,0,1,0,1,0,1,6,5,78379562,7,1971037,2,21,175699,75,4,759,22,2,7,false,false,false,Florida,Vasquez,bank,va
1764,0,0,0,0,1,0,0,1,1,4,90583917,18,328839,1,79,52363,78,6,776,5,1,1,false,false,true,New York,English,bank,va
1765,0,0,1,1,1,1,0,1,7,4,4363536277,12,924462,1,22,162084,68,4,783,23,4,2,false,true,false,NE,Werner,bank,va
1766,0,0,0,1,1,0,0,1,2,7,1312271891,12,1632805,1,80,298656,89,5,717,10,0,4,false,false,false,California,Jasper,bank,va
1767,0,0,0,1,1,0,0,1,6,1,44902070,10,163512,1,29,978112,85,4,710,17,3,3,false,false,false,Texas,Quigley,bank,va
1768,0,0,0,0,0,1,0,1,6,4,684915441,8,1965154,1,45,247896,86,0,765,16,0,2,false,false,false,California,Patel,bank,va
1769,0,0,0,1,1,1,0,1,0,3,4075690876,9,871041,1,39,198550,66,4,850,4,1,2,false,false,false,New York,Devon,bank,va
1770,0,0,1,0,1,1,0,0,3,2,4681277273,7,126645,17,28,89564,88,3,628,12,6,1,false,false,false,MidWest,Lula,bank,fixed
1771,0,0,0,1,0,1,0,1,4,7,1014242548,11,1502764,7,31,54877,96,6,822,5,1,3,true,false,true,New York,English,bank,va
1772,0,0,1,1,1,1,0,0,2,4,51549912,8,1760911,1,60,79284,55,4,759,8,2,2,false,false,false,Florida,Hassan,bank,fixed
1773,0,0,1,0,1,0,0,1,6,7,2115435725,11,675858,1,40,141164,81,0,750,3,2,0,true,false,false,Florida,Chatterji,bank,va
1774,0,0,0,0,0,1,0,1,1,5,607523217,14,477543,1,34,108841,84,5,702,2,5,0,false,false,true,South,Bost,bank,va
1775,0,0,1,0,1,0,0,1,1,0,1591812883,9,37079,1,20,96239,90,2,751,9,3,2,false,false,false,Texas,Ingrid,bank,va
1776,0,0,0,0,0,0,0,0,2,0,1803992150,4,6778,1,21,57003,87,4,775,20,0,2,false,false,false,California,Tavares,bank,fixed
1777,0,0,0,0,1,0,0,1,7,4,110402374,2,1229616,1,39,58348,84,3,673,4,0,1,false,false,false,California,Devon,bank,va
1778,0,0,1,0,0,0,1,0,2,4,324466970,9,329751,1,67,116861,82,3,710,1,2,4,false,false,false,Florida,Abbott,wirehouse,fixed
1779,0,0,1,0,0,1,0,0,1,3,570620817,6,612467,6,35,52537,70,5,773,21,2,5,false,false,true,Florida,Underwood,bank,fixed
1780,0,0,0,1,0,0,0,0,3,1,77407275,4,1762287,1,65,314870,97,6,781,15,2,4,false,false,false,Florida,Ojj,bank,fixed
1781,0,0,1,0,0,0,0,1,4,1,205713566,11,7673275,1,48,473864,88,5,663,5,1,0,false,false,false,New York,English,bank,va
1782,0,0,0,1,1,0,1,0,5,5,374808119,15,9428617,1,65,470585,52,3,750,22,1,0,false,false,false,New York,Vasquez,wirehouse,fixed
1783,0,0,0,0,1,0,0,0,5,6,758476687,8,374027,1,51,246166,61,6,634,3,6,3,false,false,false,MidWest,Chatterji,bank,fixed
1784,0,0,1,0,0,1,0,0,3,4,850563315,5,97878,1,27,106237,88,4,772,13,4,1,false,false,false,NE,Mambwe,bank,fixed
1785,0,0,0,0,1,0,1,1,1,1,458791559,11,407382,3,46,187077,62,5,788,13,6,1,false,false,true,MidWest,Mambwe,wirehouse,va
1786,0,0,0,0,1,0,0,0,4,5,46104858,9,944461,1,38,470578,81,5,683,25,3,3,false,false,true,Texas,Yang,bank,fixed
1787,0,0,0,1,1,1,0,1,4,3,4389181766,11,669170,1,20,84206,86,4,764,25,3,2,false,false,false,Texas,Yang,bank,va
1788,0,0,0,1,1,0,0,1,4,0,136902486,7,83280,1,23,989477,92,0,740,1,6,0,false,false,false,MidWest,Abbott,bank,va
1789,0,0,0,1,1,0,0,1,2,2,121150759,65,36839,1,59,176484,98,5,783,5,5,4,false,false,true,South,English,bank,va
1790,0,0,0,1,0,1,0,1,3,6,594958505,3,6023673,14,27,335817,73,4,734,9,5,1,false,false,true,South,Ingrid,bank,va
1791,0,0,0,1,0,0,0,0,4,3,117637354,6,811521,1,32,488603,83,4,846,12,3,2,false,false,true,Texas,Lula,bank,fixed
1792,0,0,0,0,1,0,0,1,3,4,2696639284,11,25828,4,27,104485,85,2,824,21,0,2,false,false,true,California,Underwood,bank,va
1793,0,0,0,0,0,1,0,1,1,6,30045760,2,5779130,1,42,273390,91,1,843,5,5,4,true,true,false,South,English,bank,va
1794,0,0,0,1,1,1,0,0,7,5,60907591,10,306922,1,40,231589,99,6,683,14,1,5,false,false,true,New York,Noth,bank,fixed
1795,0,0,0,1,1,0,1,0,0,3,205522331,7,155708,1,44,123006,93,4,770,1,3,3,false,true,false,Texas,Abbott,wirehouse,fixed
1796,0,0,0,1,1,1,0,1,4,4,283870634,11,483501,2,60,164262,99,1,826,14,7,3,false,false,false,West,Noth,bank,va
1797,0,0,1,1,1,0,1,0,7,5,251336424,1,297473,6,37,86634,99,3,719,18,0,1,false,false,false,California,Rodriguez,wirehouse,fixed
1798,0,0,1,1,1,0,1,0,7,6,52159454,9,206714,18,46,132106,86,2,842,8,6,4,false,false,false,MidWest,Hassan,wirehouse,fixed
1799,0,0,0,1,0,1,1,1,3,0,14029253,11,5042400,26,57,268406,96,4,632,23,7,4,false,false,false,West,Werner,wirehouse,va
1800,0,0,0,0,0,1,1,1,4,5,337105276,12,278288,1,21,180241,89,4,706,20,1,0,false,false,false,New York,Tavares,wirehouse,va
1801,0,0,0,0,1,0,0,0,7,1,505961212,6,447143,1,61,178259,87,5,793,6,0,2,false,false,true,California,Funderburk,bank,fixed
1802,0,0,1,0,1,0,1,0,5,0,307972793,10,4105435,17,24,399514,100,6,750,5,2,3,false,false,false,Florida,English,wirehouse,fixed
1803,0,0,0,0,1,1,0,1,5,5,985776166,1,979840,1,38,239122,37,5,797,2,6,3,false,false,true,MidWest,Bost,bank,va
1804,0,0,0,1,0,0,1,0,4,0,31991053,11,1345489,1,28,259474,84,6,718,18,2,1,false,false,true,Florida,Rodriguez,wirehouse,fixed
1805,0,0,1,0,1,1,1,1,1,2,496982734,11,1511383,1,50,180184,63,2,775,14,2,5,false,false,false,Florida,Noth,wirehouse,va
1806,0,0,1,0,1,1,0,0,2,1,1932689883,11,3413112,1,29,778515,91,4,713,22,4,5,false,true,false,NE,Vasquez,bank,fixed
1807,0,0,0,0,1,0,0,0,6,3,603147798,15,337536,1,36,365279,91,2,771,13,0,2,false,false,false,California,Mambwe,bank,fixed
1808,0,0,0,0,0,0,0,1,5,6,244174131,10,3233878,9,39,432720,96,6,589,18,3,3,false,false,false,Texas,Rodriguez,bank,va
1809,0,0,0,0,1,0,0,1,2,1,827641727,4,3765783,1,60,149132,99,2,701,15,4,3,false,false,true,NE,Ojj,bank,va
1810,0,0,1,1,1,0,1,0,0,4,514071704,9,209342,1,32,247281,95,1,749,7,5,1,false,false,false,South,Griegio,wirehouse,fixed
1811,0,0,0,0,1,0,0,1,3,1,963285563,10,25254,2,50,134950,82,1,736,8,2,2,false,false,true,Florida,Hassan,bank,va
1812,0,0,1,0,1,0,0,1,6,2,935433189,3,5889675,3,53,460644,95,5,776,17,3,4,false,false,false,Texas,Quigley,bank,va
1813,0,0,0,1,1,0,0,0,3,2,76273519,9,7854118,1,58,453695,88,6,713,3,1,2,false,false,true,New York,Chatterji,bank,fixed
1814,0,0,0,0,1,1,0,1,7,6,1805754851,13,1610351,3,66,174173,77,5,835,9,5,0,false,false,false,South,Ingrid,bank,va
1815,0,0,0,1,0,1,0,0,3,1,4090050106,12,78138,36,75,81637,83,2,619,11,3,3,false,false,false,Texas,Kanumba,bank,fixed
1816,0,0,0,0,1,0,0,1,3,3,958477515,2,1048696,1,42,271938,68,4,662,9,1,0,false,false,true,New York,Ingrid,bank,va
1817,0,0,0,1,0,0,1,1,2,4,950578913,9,1535483,1,26,200263,86,4,669,4,3,0,false,false,false,Texas,Devon,wirehouse,va
1818,0,0,0,1,0,0,0,1,6,1,256334185,8,286140,20,59,159376,82,4,634,3,1,1,false,false,true,New York,Chatterji,bank,va
1819,0,0,0,0,1,0,0,0,3,2,755773131,1,319511,2,34,114233,86,4,797,13,2,1,false,false,false,Florida,Mambwe,bank,fixed
1820,0,0,1,0,1,0,0,1,1,2,2944187637,3,96066,1,26,490560,94,6,622,6,5,3,false,false,true,South,Funderburk,bank,va
1821,0,0,1,1,1,1,1,1,4,0,807892684,12,83068,5,60,160282,92,5,412,11,1,0,true,false,false,New York,Kanumba,wirehouse,va
1822,0,0,1,0,0,1,0,1,7,0,80670385,10,711215,1,31,292874,61,5,646,1,4,2,false,false,false,NE,Abbott,bank,va
1823,0,0,1,0,1,0,0,0,3,1,378427544,5,289091,1,43,329931,87,6,610,2,5,4,false,false,false,South,Bost,bank,fixed
1824,0,0,0,0,1,1,0,1,1,3,924736771,2,343166,1,66,397058,48,6,525,23,6,0,false,false,false,MidWest,Werner,bank,va
1825,0,0,0,1,1,1,0,1,5,5,983819446,5,7232325,20,38,118055,68,3,739,15,2,4,false,false,true,Florida,Ojj,bank,va
1826,0,0,0,0,0,0,0,0,1,2,95139736,10,189847,1,42,126771,91,5,775,6,3,1,false,false,true,Texas,Funderburk,bank,fixed
1827,0,0,1,0,1,1,0,0,2,1,468611499,12,51361,3,30,77645,81,4,830,1,1,4,false,true,true,New York,Abbott,bank,fixed
1828,0,0,1,1,0,1,1,0,5,1,218961752,8,77363,1,66,289038,75,6,798,8,5,2,false,false,false,South,Hassan,wirehouse,fixed
1829,0,0,1,1,1,0,0,0,1,7,30080218,9,1177702,1,28,87776,79,6,765,15,3,1,false,false,true,Texas,Ojj,bank,fixed
1830,0,0,1,1,0,0,0,1,3,2,885040622,9,446680,1,39,272024,93,4,757,5,3,2,false,false,true,Texas,English,bank,va
1831,0,0,0,0,1,0,2,1,5,6,161879470,1,1431716,1,45,363164,82,6,606,19,3,2,false,false,false,Texas,Szu,ria,va
1832,0,0,0,1,0,1,1,1,1,4,28524228,5,88055,1,37,388721,99,5,741,8,0,3,false,false,false,California,Hassan,wirehouse,va
1833,0,0,0,1,1,0,0,1,3,3,344926988,9,6279734,37,41,941989,91,5,822,11,5,1,false,false,true,South,Kanumba,bank,va
1834,0,0,0,0,1,0,0,1,3,4,333740587,7,1729523,1,36,60891,97,6,714,1,1,1,false,false,false,New York,Abbott,bank,va
1835,0,0,0,0,1,0,0,1,4,6,3835612270,2,3249335,1,42,106896,87,5,753,5,2,1,false,false,false,Florida,English,bank,va
1836,0,0,0,0,0,1,1,0,0,6,56343175,7,1454059,1,75,982181,99,3,717,11,6,1,false,false,true,MidWest,Kanumba,wirehouse,fixed
1837,0,0,0,1,1,0,0,1,6,6,2229271132,13,563725,2,41,709713,39,5,823,1,3,1,false,false,false,Texas,Abbott,bank,va
1838,0,0,1,1,1,0,2,1,6,0,301264480,15,39680,1,36,242608,77,5,795,11,1,1,false,false,false,New York,Kanumba,ria,va
1839,0,0,1,1,1,1,0,1,3,1,64801997,17,4733848,1,38,173434,93,5,812,21,1,0,false,false,false,New York,Underwood,bank,va
1840,0,0,0,0,1,0,1,1,5,2,519888471,13,5503126,1,32,57564,93,3,707,22,2,2,false,false,false,Florida,Vasquez,wirehouse,va
1841,0,0,1,1,0,1,0,1,4,0,43804073,12,1635848,13,80,293560,84,5,651,19,1,1,false,false,true,New York,Szu,bank,va
1842,0,0,0,0,1,0,0,1,4,2,610254916,11,693850,1,22,280128,83,4,661,10,3,2,false,false,false,Texas,Jasper,bank,va
1843,0,0,0,1,0,0,0,1,3,4,2453804401,8,9060919,1,33,188032,79,6,801,10,0,1,false,true,false,California,Jasper,bank,va
1844,0,0,0,0,1,1,1,0,2,0,444451064,12,925579,1,31,246943,92,3,850,12,0,4,false,true,false,California,Lula,wirehouse,fixed
1845,0,0,0,1,1,1,0,0,4,2,838225053,1,5299817,1,42,278154,92,4,659,11,3,2,false,false,false,Texas,Kanumba,bank,fixed
1846,0,0,0,1,1,1,2,0,3,3,2825401752,11,1100374,1,72,196688,98,4,602,22,0,3,false,false,false,California,Vasquez,ria,fixed
1847,0,0,0,1,0,1,1,1,4,4,63128062,10,5332470,23,40,118783,40,6,785,24,6,1,false,false,false,MidWest,Xavier,wirehouse,va
1848,0,0,0,0,0,0,0,0,6,1,3518799686,13,1315545,1,45,192125,95,6,617,14,5,2,false,false,false,South,Noth,bank,fixed
1849,0,0,0,1,1,1,1,1,6,5,371629745,34,4001990,1,28,443014,75,2,785,23,3,3,false,true,false,Texas,Werner,wirehouse,va
1850,0,0,0,1,1,0,1,1,4,4,507667230,2,460635,1,40,162857,82,5,812,2,0,2,false,false,false,California,Bost,wirehouse,va
1851,0,0,0,1,1,0,0,0,4,1,506375661,11,418691,1,24,298241,69,5,743,15,2,2,false,false,false,Florida,Ojj,bank,fixed
1852,0,0,0,1,1,1,1,1,4,1,831566972,3,44267,17,45,221338,99,4,795,2,2,0,false,false,false,Florida,Bost,wirehouse,va
1853,0,0,0,1,1,0,0,1,2,3,230950470,7,69959,16,37,103112,92,4,766,15,2,1,false,false,false,Florida,Ojj,bank,va
1854,0,0,0,1,1,0,0,0,2,1,138396561,10,1440226,2,67,186905,87,3,660,21,1,0,false,false,false,New York,Underwood,bank,fixed
