advisor,performance_period,advisor_event_indicator,sf_face_2_face,sf_call_outbound,sf_call_inbound,sf_email_inbound,channel_ria,primary_prod_sold_annuity,sf_email_campaigns,advisor_hh_children,annuity_mkt_opp,advisor_advising_years,advisor_aum,advisor_annuity_selling_years,advisor_age,advisor_net_worth,advisor_credit_hist_mos,advisor_firm_changes,advisor_credit_score,wholesaler,region,sf_email_responses,id_activity_last_6mos,id_top_producer,id_strategic_partner,region_char,wholesaler_char
2903,0,0,0,1,1,1,0,1,3,2,395507485,9,5964324,1,31,134874,95,2,829,13,4,2,false,false,false,NE,Mambwe
2904,0,0,0,1,1,1,0,1,5,3,1191738655,13,374653,3,38,115642,55,6,759,3,4,2,false,false,false,NE,Chatterji
2905,0,0,1,1,0,0,0,1,5,2,702398714,29,353276,1,38,194918,91,6,809,1,0,0,false,false,false,California,Abbott
2906,0,0,1,0,1,0,0,1,7,0,531179119,5,97877,1,40,124195,87,5,850,14,2,0,false,false,true,Florida,Noth
2907,0,0,1,0,1,1,0,1,4,3,2177105145,12,4247048,1,37,177387,90,4,766,10,3,4,false,false,true,Texas,Jasper
2908,0,0,0,0,1,0,1,1,2,1,796116192,12,3640388,1,39,201174,85,1,619,15,3,3,false,false,false,Texas,Ojj
2909,0,0,0,1,1,0,0,1,4,2,51040702,4,1052739,1,57,210007,89,5,821,8,0,3,false,false,true,California,Hassan
2910,0,0,1,1,1,0,0,0,3,5,84335660,3,383304,1,26,246791,93,6,462,8,2,0,false,false,false,Florida,Hassan
2911,0,0,0,0,1,0,1,1,2,1,1189016992,16,9534782,6,35,54303,97,1,513,19,0,3,false,false,false,California,Szu
2912,0,0,0,1,1,0,0,1,2,5,13714635,4,2349447,1,31,101209,89,6,835,15,0,5,false,false,true,California,Ojj
2913,0,0,0,0,1,0,0,0,4,4,4233978398,10,160403,1,49,120241,92,4,583,4,1,1,false,false,false,New York,Devon
2914,0,0,0,1,1,0,0,0,2,6,743792915,4,640588,1,25,151214,59,1,654,19,1,6,false,false,false,New York,Szu
2915,0,0,1,0,0,0,0,1,6,5,311113743,14,41205,3,33,221142,98,2,832,15,4,0,true,true,false,NE,Ojj
2916,0,0,1,1,1,0,0,1,3,3,3371205038,12,456258,3,28,236684,68,6,721,15,0,0,false,false,false,California,Ojj
2917,0,0,0,1,1,0,0,0,7,2,753208172,8,310947,1,38,115706,82,3,766,12,2,2,false,false,true,Florida,Lula
2918,0,0,1,1,1,0,0,1,0,4,720721916,6,1738939,3,62,282655,89,4,776,1,2,2,false,false,false,Florida,Abbott
2919,0,0,1,1,1,0,0,0,2,5,41353237,4,3831025,24,32,459530,83,4,741,3,7,1,false,false,true,West,Chatterji
2920,0,0,1,1,0,0,0,1,3,5,22456072,3,2981572,1,66,124493,87,0,732,18,5,4,false,true,true,South,Rodriguez
2921,0,0,0,1,0,1,1,1,3,1,908886023,2,319911,1,67,341503,91,5,748,8,0,2,false,false,false,California,Hassan
2922,0,0,1,0,1,0,0,0,2,5,361579313,1,22153,1,29,148604,100,6,743,4,2,1,false,false,false,Florida,Devon
2923,0,0,0,1,0,0,1,0,7,6,265429549,13,952520,1,56,329251,99,6,720,10,1,2,false,false,false,New York,Jasper
2924,0,0,1,0,0,0,0,0,7,4,828074928,11,1575782,3,36,397383,45,6,759,12,4,3,false,false,false,NE,Lula
2925,0,0,0,0,0,0,0,1,2,2,303189256,12,1017838,1,29,53369,64,2,763,19,3,5,false,false,false,Texas,Szu
2926,0,0,0,1,0,0,0,1,1,6,578116680,5,199870,1,73,245799,82,6,839,1,4,4,false,false,true,NE,Abbott
2927,0,0,0,0,1,0,0,0,2,0,261657335,23,232616,2,21,225815,96,5,766,23,2,2,false,false,false,Florida,Werner
2928,0,0,0,0,0,1,0,1,2,5,778386085,2,1915587,1,21,272591,78,6,719,12,0,4,false,false,false,California,Lula
2929,0,0,1,1,1,0,0,1,1,4,860461213,81,289113,13,69,262753,81,5,730,8,0,1,false,false,false,California,Hassan
2930,0,0,0,1,1,0,0,1,6,2,756657152,54,60154,1,46,253457,87,6,718,16,5,1,false,false,true,South,Patel
2931,0,0,0,0,1,0,0,1,4,6,331026277,5,1355270,1,56,154358,56,4,549,21,3,2,false,false,true,Texas,Underwood
2932,0,0,0,0,1,0,0,1,2,3,180372183,4,143257,7,36,287812,86,5,714,12,0,0,false,false,true,California,Lula
2933,0,0,0,0,1,1,0,1,5,7,64387856,9,1398000,1,44,211805,27,6,750,16,0,1,false,false,true,California,Patel
2934,0,0,1,1,1,1,0,1,1,1,3386488642,17,278212,1,34,157977,82,4,641,10,5,4,false,false,true,South,Jasper
2935,0,0,0,1,0,0,1,0,6,0,826617250,10,344734,1,45,72603,91,4,850,8,7,2,false,false,false,West,Hassan
2936,0,0,1,0,0,0,0,1,7,4,927618964,7,296316,1,42,70631,94,5,715,5,3,2,false,false,false,Texas,English
2937,0,0,0,1,1,0,0,0,6,0,643491327,8,1283012,2,29,129803,88,5,749,7,6,1,false,false,true,MidWest,Griegio
2938,0,0,0,1,0,1,0,1,4,4,63787687,5,4548436,1,44,97379,27,6,762,20,3,0,false,false,false,Texas,Tavares
2939,0,0,1,0,1,1,0,1,7,1,976643418,10,683415,1,42,263046,82,5,655,15,1,2,false,false,false,New York,Ojj
2940,0,0,0,0,1,1,0,1,5,3,807380320,16,4729040,38,37,137753,87,6,590,23,3,2,false,false,true,Texas,Werner
2941,0,0,0,1,0,1,0,0,7,5,792918751,16,470355,1,28,155679,99,4,784,21,0,1,false,false,false,California,Underwood
2942,0,0,1,1,1,0,0,1,4,6,852980115,10,2760078,1,19,74284,93,4,848,14,7,2,false,false,true,West,Noth
2943,0,0,1,0,1,0,0,1,2,5,711806176,5,322159,1,29,244913,77,4,462,12,6,0,false,false,false,MidWest,Lula
2944,0,0,1,0,0,0,0,0,5,6,44500645,2,39787,18,33,192780,88,3,789,5,4,0,false,false,true,NE,English
2945,0,0,1,0,0,1,1,1,2,7,86418470,5,170643,1,32,174623,92,4,792,15,3,3,false,false,true,Texas,Ojj
2946,0,0,0,0,0,1,0,1,2,5,943022549,8,281125,1,19,275650,91,4,748,10,5,2,false,false,false,South,Jasper
2947,0,0,0,1,0,1,0,1,4,3,316039550,14,505359,1,65,250808,81,0,776,11,0,0,false,false,false,California,Kanumba
2948,0,0,1,1,1,0,0,1,0,3,737960655,4,3562720,2,31,239360,83,5,798,4,2,2,false,false,true,Florida,Devon
2949,0,0,0,1,1,0,0,1,5,4,912038983,11,1243758,1,41,567577,39,4,652,4,2,2,false,false,true,Florida,Devon
2950,0,0,0,1,1,0,0,1,4,7,86725977,9,844670,1,42,171549,13,6,838,11,6,1,false,false,false,MidWest,Kanumba
2951,0,0,0,0,0,0,1,0,2,3,465487445,11,1013885,1,41,293905,87,2,739,9,7,1,false,true,true,West,Ingrid
2952,0,0,1,0,1,1,0,1,6,0,2159561913,2,1133930,1,34,247841,92,4,642,3,0,5,false,false,true,California,Chatterji
2953,0,0,0,0,0,1,0,1,2,1,87213481,13,9537621,3,26,137143,86,5,520,13,2,1,false,false,true,Florida,Mambwe
2954,0,0,0,1,1,0,0,1,2,0,936202038,12,9644777,1,62,244865,98,5,733,25,3,4,false,false,true,Texas,Yang
2955,0,0,0,1,1,0,0,0,1,4,85153487,6,19120,1,19,238934,83,1,663,22,5,2,false,false,false,South,Vasquez
2956,0,0,0,1,1,0,0,1,1,7,98617181,11,390095,5,50,152601,99,5,786,6,7,3,false,false,false,West,Funderburk
2957,0,0,0,1,1,1,1,1,3,2,237988228,8,316894,1,21,71358,65,6,699,13,7,1,false,false,false,West,Mambwe
2958,0,0,1,1,1,1,0,0,1,1,652010788,5,1295808,1,23,347749,96,5,651,20,3,3,false,false,false,Texas,Tavares
2959,0,0,0,0,0,0,0,0,5,2,448034673,2,4828576,31,39,807759,95,2,680,25,5,1,false,false,false,South,Yang
2960,0,0,0,0,1,1,0,0,2,1,886517999,8,961717,1,43,140002,83,5,760,17,0,1,false,false,false,California,Quigley
2961,0,0,1,0,0,0,0,1,4,7,750622632,17,699046,1,35,102137,96,4,754,3,3,4,false,false,false,Texas,Chatterji
2962,0,0,1,1,1,1,1,1,6,3,1331241153,10,518044,1,55,245986,83,6,740,15,5,0,false,false,true,South,Ojj
2963,0,0,0,0,1,1,0,1,4,6,62101746,20,4912687,1,70,172615,88,3,794,23,1,1,false,false,false,New York,Werner
2964,0,0,1,1,1,1,0,1,7,7,122011464,9,825764,1,44,102052,85,6,759,7,7,1,false,false,false,West,Griegio
2965,0,0,0,1,1,0,0,1,7,5,4141650447,9,232399,1,63,139875,85,5,742,6,5,1,false,false,false,South,Funderburk
2966,0,0,0,0,0,1,0,1,3,6,275059167,5,1939586,26,26,238773,71,0,805,17,5,2,false,false,false,South,Quigley
2967,0,0,1,0,1,1,0,1,2,5,943371331,5,386495,1,27,185835,89,4,776,24,5,0,false,false,false,South,Xavier
2968,0,0,1,1,0,1,0,1,4,4,717419333,23,49050,1,36,254652,97,4,796,13,1,1,false,false,false,New York,Mambwe
2969,0,0,0,0,1,1,1,0,0,0,290521768,3,6642,21,65,74125,86,4,839,1,5,0,true,false,true,South,Abbott
2970,0,0,0,0,0,0,0,1,2,5,66821970,2,8157351,1,68,361126,63,6,812,25,3,0,false,false,false,Texas,Yang
2971,0,0,0,0,1,0,0,1,1,2,971884801,12,339500,1,42,603776,89,4,637,25,3,2,false,false,false,Texas,Yang
2972,0,0,0,1,1,0,0,1,6,5,768675964,9,787519,1,36,146840,26,0,756,5,0,1,false,false,false,California,English
2973,0,0,1,1,0,1,0,1,2,1,527226029,8,96454,1,39,203314,95,6,601,25,3,3,false,false,false,Texas,Yang
2974,0,0,0,0,1,1,1,1,2,4,464816652,3,2301256,1,75,156121,100,6,731,6,3,0,false,true,false,Texas,Funderburk
2975,0,0,1,1,0,1,0,1,0,7,44066711,5,35247,1,32,225065,93,6,522,19,5,5,false,false,false,South,Szu
2976,0,0,1,0,1,0,0,0,5,2,90526514,11,289929,38,45,379380,65,5,724,14,1,3,false,false,false,New York,Noth
2977,0,0,1,0,1,0,0,1,0,2,1521232699,8,68444,1,34,135493,91,4,849,4,4,2,false,false,false,NE,Devon
2978,0,0,0,0,1,1,0,1,5,4,839112129,3,467449,1,19,95744,90,5,792,20,2,0,false,false,false,Florida,Tavares
2979,0,0,0,1,1,0,0,1,7,4,468274777,7,2353923,1,46,63298,80,6,823,9,1,0,false,false,false,New York,Ingrid
2980,0,0,1,0,1,0,0,0,1,6,89509617,3,1628457,1,37,611664,95,3,748,19,7,1,false,true,false,West,Szu
2981,0,0,1,1,0,0,0,1,2,2,77713936,6,9211580,1,35,92893,84,4,709,15,5,5,false,false,true,South,Ojj
2982,0,0,0,1,0,0,0,0,4,0,38281840,71,614317,1,75,93586,90,5,832,16,4,2,true,false,false,NE,Patel
2983,0,0,0,0,1,1,0,1,1,3,728372641,9,1010810,1,42,231184,88,4,801,17,7,6,false,false,true,West,Quigley
2984,0,0,0,0,0,1,0,0,3,6,822947967,11,62408,1,33,220725,86,1,717,25,3,4,true,false,false,Texas,Yang
2985,0,0,0,0,1,0,0,1,0,3,816952297,9,772598,11,44,401143,93,4,798,15,6,1,false,false,false,MidWest,Ojj
2986,0,0,0,1,0,0,0,1,3,3,2813743676,9,1895867,7,78,130662,84,4,727,25,4,5,false,false,false,NE,Yang
2987,0,0,0,1,1,0,0,1,5,3,933751696,3,1337911,1,36,128099,65,0,700,16,1,5,false,false,false,New York,Patel
2988,0,0,0,1,1,0,1,0,4,3,924246343,14,659237,1,52,448135,84,6,736,24,7,2,false,false,false,West,Xavier
2989,0,0,0,0,0,0,0,1,4,2,696592670,5,668303,6,66,200329,83,5,738,15,0,2,false,false,false,California,Ojj
2990,0,0,0,0,0,0,0,1,3,0,880393010,11,627415,1,41,249049,32,2,617,3,4,3,false,false,true,NE,Chatterji
2991,0,0,0,1,0,0,0,1,7,5,94966106,9,98147,1,39,250236,79,5,731,13,3,2,false,false,true,Texas,Mambwe
2992,0,0,1,1,0,0,0,1,7,5,629301035,13,406110,1,31,770212,90,6,767,13,3,2,true,false,true,Texas,Mambwe
2993,0,0,0,1,1,1,0,0,1,2,900775901,32,7428541,1,22,89000,63,4,719,20,3,0,false,false,true,Texas,Tavares
2994,0,0,0,0,1,1,1,1,2,2,45154796,9,1953185,1,42,391958,55,2,706,24,0,2,false,false,false,California,Xavier
2995,0,0,0,1,0,0,0,1,6,4,615665569,4,438559,13,34,55322,23,4,514,17,0,1,false,false,false,California,Quigley
2996,0,0,0,0,0,1,0,1,2,3,89550011,12,214169,1,34,67736,60,1,739,10,0,2,false,false,false,California,Jasper
2997,0,0,0,1,0,0,0,1,3,5,621050973,4,372923,34,47,265345,56,6,748,3,4,1,false,false,false,NE,Chatterji
2998,0,0,0,1,1,1,0,0,3,7,14140419,6,1992308,1,32,127816,59,4,722,6,1,1,false,true,false,New York,Funderburk
2999,0,0,1,0,0,1,0,1,1,0,2380202191,8,646922,1,19,275523,86,5,794,22,1,2,false,false,false,New York,Vasquez
3000,0,0,0,1,0,0,0,1,2,3,17131657,3,45575,1,76,354489,50,6,800,2,3,2,false,false,false,Texas,Bost
3001,0,0,0,0,0,0,1,1,2,4,951591659,11,4746552,1,44,144718,33,4,710,4,3,3,false,false,false,Texas,Devon
3002,0,0,0,1,1,0,0,0,2,1,2443099546,12,1426463,1,26,247697,39,5,656,17,5,1,false,false,false,South,Quigley
3003,0,0,1,0,1,1,0,1,1,1,48220832,2,159881,1,23,288012,94,0,721,8,4,2,true,false,false,NE,Hassan
3004,0,0,0,0,1,0,0,0,6,6,46319833,11,633350,17,30,213280,55,4,782,21,1,0,false,false,false,New York,Underwood
3005,0,0,0,1,1,0,0,0,3,3,826085715,4,813730,9,45,425437,86,4,833,9,3,7,true,false,false,Texas,Ingrid
3006,0,0,1,1,1,0,0,0,3,6,612671531,2,185451,1,39,163391,95,5,775,25,1,0,false,true,false,New York,Yang
3007,0,0,0,0,1,1,1,1,5,2,913338902,7,1986617,3,28,245728,85,6,804,22,7,0,false,true,true,West,Vasquez
3008,0,0,0,1,1,0,0,1,4,1,97984108,12,427916,1,64,267628,88,6,759,7,4,1,false,false,false,NE,Griegio
3009,0,0,1,0,0,0,0,0,4,3,447286941,5,496168,1,22,125395,38,6,748,21,5,4,false,false,false,South,Underwood
3010,0,0,0,0,0,0,0,1,6,0,84027169,10,800472,1,69,158202,86,6,779,18,1,4,false,true,false,New York,Rodriguez
3011,0,0,1,1,0,0,1,1,7,4,1726911717,3,1322655,37,20,226652,90,6,737,20,3,2,false,false,false,Texas,Tavares
3012,0,0,1,0,1,0,1,1,6,4,693694615,10,224833,1,55,97020,98,1,739,13,1,1,false,false,true,New York,Mambwe
3013,0,0,1,0,0,0,0,0,2,6,2678776245,11,68132,20,70,55834,96,5,723,19,6,1,false,false,true,MidWest,Szu
3014,0,0,0,0,1,0,1,1,7,3,500725606,11,59386,1,20,970719,66,3,788,6,1,1,false,false,true,New York,Funderburk
3015,0,0,0,1,1,0,0,1,5,0,878954598,18,431209,1,29,390305,82,4,725,9,2,3,false,false,false,Florida,Ingrid
3016,0,0,0,1,1,0,0,1,3,3,4940999801,4,489408,3,67,124175,93,4,748,15,1,1,false,false,true,New York,Ojj
3017,0,0,0,0,0,1,0,1,1,2,420915541,11,334116,25,21,232334,91,3,672,22,3,0,false,false,true,Texas,Vasquez
3018,0,0,0,0,0,1,0,0,2,4,986025969,11,950924,1,24,685236,97,0,788,22,4,1,false,false,true,NE,Vasquez
3019,0,0,0,1,0,1,1,0,4,1,3523399458,11,4259470,6,58,155016,69,5,703,4,2,2,false,false,false,Florida,Devon
3020,0,0,1,1,0,0,1,0,4,1,552794684,2,5275,1,29,289808,86,4,805,14,7,1,false,false,true,West,Noth
3021,0,0,0,1,1,1,1,0,1,0,758911701,2,1087779,1,69,251196,66,5,666,4,1,3,false,false,true,New York,Devon
3022,0,0,0,1,0,1,0,0,7,6,63033713,11,65121,1,58,217696,86,3,733,23,0,3,false,false,false,California,Werner
3023,0,0,0,1,1,1,0,0,4,7,467258217,6,497179,1,49,821478,76,4,766,14,5,0,false,false,true,South,Noth
3024,0,0,0,1,1,0,0,1,2,2,4100201450,24,1219796,6,25,195935,16,4,730,7,2,3,false,false,false,Florida,Griegio
3025,0,0,0,0,1,1,0,1,2,3,632979246,11,1573803,16,55,223527,87,2,742,14,1,2,false,false,false,New York,Noth
3026,0,0,1,0,0,1,0,1,2,2,803987143,3,8292605,4,24,108467,86,4,655,1,4,4,false,false,true,NE,Abbott
3027,0,0,1,1,1,0,1,0,3,3,354313851,12,289975,1,25,173332,89,4,772,24,5,1,false,false,false,South,Xavier
3028,0,0,1,0,0,0,0,1,7,0,448788052,32,36074,6,37,652322,92,4,750,10,1,2,false,false,false,New York,Jasper
3029,0,0,0,0,1,0,0,1,7,4,597071698,12,742852,1,22,209642,96,4,717,1,4,0,false,false,true,NE,Abbott
3030,0,0,1,1,0,0,0,1,5,7,788213086,46,39430,1,20,204630,79,5,720,23,0,2,false,false,false,California,Werner
3031,0,0,0,1,1,0,0,0,1,3,977507814,11,993084,1,33,183802,89,3,744,10,2,4,false,false,false,Florida,Jasper
3032,0,0,1,1,1,1,0,1,4,0,534943551,2,387613,1,21,197836,99,1,769,10,4,3,false,false,false,NE,Jasper
3033,0,0,0,1,1,1,0,0,4,1,1988172224,3,4475187,2,29,230511,73,3,737,5,2,2,false,false,false,Florida,English
3034,0,0,1,0,1,0,0,0,1,6,351531443,8,427125,2,45,162807,71,6,665,14,4,2,false,false,false,NE,Noth
3035,0,0,0,1,0,0,0,1,4,2,74547276,2,50347,1,30,494124,85,4,750,18,2,4,false,false,true,Florida,Rodriguez
3036,0,0,1,0,1,1,0,1,6,5,3921226058,1,201246,19,42,60931,87,6,771,15,5,2,false,false,false,South,Ojj
3037,0,0,0,1,1,0,0,1,5,2,42650944,3,185530,16,45,151797,97,3,842,8,0,1,false,false,false,California,Hassan
3038,0,0,0,0,1,1,0,1,5,5,905123995,12,2183278,1,27,290144,89,1,762,16,5,0,false,false,true,South,Patel
3039,0,0,0,1,0,0,0,1,2,2,102456493,5,33605,6,35,302304,39,6,775,7,4,2,false,false,false,NE,Griegio
3040,0,0,0,1,1,0,0,0,0,0,888858694,8,361860,6,36,502317,98,6,780,6,4,1,false,false,false,NE,Funderburk
3041,0,0,0,0,1,1,0,1,1,1,756023706,12,715893,1,47,84831,95,4,790,22,7,5,false,false,false,West,Vasquez
3042,0,0,1,1,1,1,1,1,0,1,121444476,5,576239,1,45,133531,89,5,743,14,2,1,false,true,false,Florida,Noth
3043,0,0,0,1,1,0,0,1,0,0,15894546,30,37359,1,41,256935,94,1,612,15,4,2,false,false,false,NE,Ojj
3044,0,0,0,0,0,0,0,1,3,7,505090643,5,1985906,7,29,66652,71,0,744,23,0,4,false,false,false,California,Werner
3045,0,0,1,1,0,0,1,0,2,3,646379193,7,788417,1,48,281266,94,6,760,11,5,1,false,false,true,South,Kanumba
3046,0,0,1,1,1,0,0,1,2,1,893410225,8,711614,1,55,244416,83,4,747,22,2,3,false,false,false,Florida,Vasquez
3047,0,0,1,0,1,0,0,0,5,6,83645535,19,900427,1,28,318367,91,3,707,19,4,3,false,false,false,NE,Szu
3048,0,0,0,1,1,0,1,1,1,4,14510406,17,1207184,6,36,56668,90,5,619,14,0,0,false,false,true,California,Noth
3049,0,0,0,1,0,1,0,1,2,4,1866046486,8,161741,3,38,266315,28,5,717,13,0,4,false,false,true,California,Mambwe
3050,0,0,0,0,1,1,1,1,3,6,897531900,11,265352,2,59,135953,72,5,705,21,3,3,false,false,false,Texas,Underwood
3051,0,0,0,1,0,0,1,1,4,4,760348281,6,426320,4,68,81330,81,4,809,17,1,1,false,false,false,New York,Quigley
3052,0,0,0,1,1,1,1,1,1,3,861553685,8,3612175,5,45,269469,73,5,732,8,2,2,false,false,false,Florida,Hassan
3053,0,0,1,0,1,0,0,0,2,0,777895232,1,166035,3,24,147545,90,4,805,9,5,6,false,false,false,South,Ingrid
3054,0,0,0,0,1,0,1,0,2,7,313246366,7,374764,4,38,118853,95,5,688,19,0,2,false,false,false,California,Szu
3055,0,0,0,1,1,1,0,0,1,0,1876955508,11,737533,7,69,239911,99,6,825,4,5,3,false,false,false,South,Devon
3056,0,0,0,0,0,0,0,1,1,4,957615161,12,6915516,3,32,73617,87,1,642,10,4,0,false,false,true,NE,Jasper
3057,0,0,0,1,1,1,0,1,4,6,89404070,2,1228790,1,28,68642,91,4,645,21,1,3,false,false,false,New York,Underwood
3058,0,0,1,1,1,0,1,1,6,0,701165360,40,6702185,4,40,191779,92,6,822,2,5,2,false,false,true,South,Bost
3059,0,0,0,0,1,0,0,1,5,3,13691418,1,4434060,1,30,342509,90,6,738,16,2,0,false,false,false,Florida,Patel
3060,0,0,1,0,0,0,1,1,1,6,988711775,3,712715,1,44,705680,6,6,751,19,0,2,false,true,false,California,Szu
3061,0,0,0,1,1,1,0,1,7,4,1260479969,6,378681,1,23,155312,54,5,701,16,7,1,false,false,false,West,Patel
3062,0,0,1,0,1,1,0,1,3,2,520020391,10,218322,9,52,105535,85,5,539,11,7,3,false,false,true,West,Kanumba
3063,0,0,0,0,1,0,0,1,1,2,89551241,1,6239913,1,23,152346,79,5,803,21,5,2,false,false,false,South,Underwood
3064,0,0,0,0,1,0,0,0,7,3,431737674,9,710685,1,44,213706,77,6,845,10,1,1,false,false,true,New York,Jasper
3065,0,0,0,0,0,0,0,0,6,0,153764402,3,474996,1,20,573717,55,4,842,19,0,3,false,false,false,California,Szu
3066,0,0,1,0,0,1,0,1,4,0,32546652,11,1382802,1,30,125261,98,6,795,16,6,7,false,false,true,MidWest,Patel
3067,0,0,1,0,1,0,0,0,3,2,165549960,7,75930,16,37,146650,54,6,812,19,5,4,false,false,false,South,Szu
3068,0,0,0,1,1,1,0,0,3,0,935118412,5,7712909,18,34,181728,73,3,715,14,5,1,false,false,false,South,Noth
3069,0,0,1,0,0,0,0,0,1,5,2906489896,8,1590983,1,44,189276,64,4,716,25,7,5,true,false,false,West,Yang
3070,0,0,0,0,1,0,0,1,2,4,89132413,11,763622,1,31,135075,90,6,773,16,4,0,false,false,true,NE,Patel
3071,0,0,0,0,0,1,1,0,2,1,795834753,6,77820,1,27,272697,98,6,716,2,2,2,false,false,false,Florida,Bost
3072,0,0,1,1,1,1,0,1,4,5,4682539343,1,28377,1,69,209369,92,1,626,22,5,2,false,false,true,South,Vasquez
3073,0,0,0,1,1,0,1,1,7,6,4310650003,15,262767,5,68,420749,95,5,719,7,5,3,false,false,false,South,Griegio
3074,0,0,0,0,0,1,0,0,7,5,58241324,17,459954,4,54,436426,77,4,815,19,0,1,false,false,false,California,Szu
3075,0,0,1,1,1,1,0,1,6,1,344279570,5,590384,5,48,463299,84,5,731,2,0,0,false,false,true,California,Bost
3076,0,0,0,0,1,1,0,1,0,0,1255811158,3,1376699,1,24,165543,99,4,816,5,3,3,false,false,false,Texas,English
3077,0,0,0,0,1,0,0,0,6,1,69807125,10,3744097,1,26,82193,82,2,800,13,3,0,false,false,false,Texas,Mambwe
3078,0,0,1,1,0,0,0,1,1,4,1546041883,4,492660,1,37,52688,85,2,839,4,0,1,false,false,true,California,Devon
3079,0,0,0,1,0,0,0,1,3,7,757122327,11,575130,13,26,165407,96,5,751,17,4,1,false,false,true,NE,Quigley
3080,0,0,0,0,1,0,1,1,4,2,210513988,11,1209410,32,42,231414,90,4,711,11,5,3,false,false,false,South,Kanumba
3081,0,0,1,1,0,1,0,1,1,0,887193501,65,755808,1,38,208376,54,5,705,20,0,1,false,false,false,California,Tavares
3082,0,0,0,1,0,0,1,1,4,1,266588083,11,939085,1,24,177581,79,6,574,24,3,3,false,false,false,Texas,Xavier
3083,0,0,1,1,1,0,0,1,1,4,812351545,14,444103,1,29,352358,69,6,799,25,5,1,false,false,true,South,Yang
3084,0,0,1,1,0,1,1,0,2,2,623614754,10,8909227,1,37,189006,82,4,806,12,1,3,false,true,false,New York,Lula
3085,0,0,1,0,0,0,0,1,4,5,1021666268,9,1439274,1,32,276456,94,3,680,4,3,1,true,false,false,Texas,Devon
3086,0,0,1,0,0,1,0,1,3,7,608318130,2,587856,1,45,412377,64,4,795,18,3,5,false,false,false,Texas,Rodriguez
3087,0,0,1,1,1,1,0,0,6,4,1642042381,14,75885,1,48,164880,65,6,749,10,4,1,false,false,false,NE,Jasper
3088,0,0,1,0,1,0,0,1,5,0,973447180,15,46218,1,30,130294,88,4,813,10,1,0,false,false,false,New York,Jasper
3089,0,0,1,0,1,0,0,0,1,3,554169191,12,1931163,1,33,198470,95,4,849,17,0,2,false,false,false,California,Quigley
3090,0,0,0,1,1,0,0,1,2,2,506989555,17,484465,1,59,80847,64,6,772,1,0,3,false,false,false,California,Abbott
3091,0,0,0,0,0,0,0,0,4,4,2061776639,4,452895,1,38,519844,100,3,711,2,1,2,false,false,false,New York,Bost
3092,0,0,1,1,1,0,0,1,1,1,12394841,10,821870,8,38,473481,84,1,784,24,3,4,false,false,false,Texas,Xavier
3093,0,0,0,1,0,1,0,1,1,4,693332769,17,902833,36,42,392784,97,6,539,23,3,0,false,false,false,Texas,Werner
3094,0,0,0,1,0,1,1,1,7,3,312257090,1,56656,1,44,139504,82,4,429,9,1,2,false,false,false,New York,Ingrid
3095,0,0,0,1,0,1,0,1,4,4,194356731,3,1692396,18,22,926452,53,4,788,14,3,4,false,false,false,Texas,Noth
3096,0,0,1,0,1,0,1,1,0,0,880005229,14,6638740,1,29,83798,8,0,819,1,3,0,false,false,false,Texas,Abbott
3097,0,0,1,0,1,0,0,0,7,2,52131309,9,467234,7,43,225485,93,5,729,2,2,0,false,false,false,Florida,Bost
3098,0,0,1,0,0,1,0,0,2,2,173254650,1,316372,1,22,226335,62,3,715,12,5,5,false,false,true,South,Lula
3099,0,0,0,1,0,0,0,1,1,1,75709063,2,1108634,1,63,429771,97,6,841,20,3,2,false,false,true,Texas,Tavares
3100,0,0,1,0,0,0,0,1,7,2,3289686465,4,25738,1,31,253302,86,4,785,12,3,1,false,false,false,Texas,Lula
3101,0,0,1,1,1,1,0,1,1,2,1778217786,3,488641,1,52,337426,78,4,713,6,0,2,false,false,false,California,Funderburk
3102,0,0,1,1,1,1,0,0,5,2,971901444,2,66977,1,32,199804,64,2,718,18,0,1,false,false,true,California,Rodriguez
3103,0,0,0,1,1,1,0,1,3,5,3959980178,2,298078,1,46,84369,29,5,678,23,0,2,false,false,true,California,Werner
3104,0,0,1,1,0,1,0,0,3,3,2279225320,5,3913312,1,24,780858,99,0,703,12,0,1,false,false,false,California,Lula
3105,0,0,0,0,0,0,0,0,1,0,956174894,8,472649,29,38,119882,83,4,633,10,3,2,false,false,false,Texas,Jasper
3106,0,0,1,1,1,0,0,1,2,6,68082720,9,1819996,2,19,111765,64,4,837,22,1,5,false,false,false,New York,Vasquez
3107,0,0,1,0,0,1,0,1,4,3,758807658,7,387277,1,30,277338,35,6,720,15,1,2,false,false,false,New York,Ojj
3108,0,0,0,1,1,0,0,1,6,1,204798213,21,399373,1,68,68827,81,1,783,20,5,2,false,false,false,South,Tavares
3109,0,0,1,0,0,0,0,1,7,4,952689458,5,513413,1,61,229179,72,1,790,24,3,0,false,false,false,Texas,Xavier
3110,0,0,0,0,1,0,0,1,6,2,979141130,3,470255,1,37,159178,51,5,633,8,1,2,false,false,false,New York,Hassan
3111,0,0,0,1,0,0,1,1,2,5,282170905,8,144952,1,38,223690,76,4,719,6,3,5,false,false,false,Texas,Funderburk
3112,0,0,1,0,0,0,0,0,3,7,577271040,15,1664135,6,43,107629,67,6,762,4,5,5,false,false,true,South,Devon
