advisor,advisor_sale,advisor_sale_type,sf_face_2_face,sf_call_outbound,sf_call_inbound,sf_email_inbound,channel,channel_type,primary_prod_sold_va,primary_prod_sold_type,sf_email_campaigns,advisor_hh_children,va_mkt_opp,advisor_advising_years,advisor_aum,advisor_annuity_selling_years,advisor_age,advisor_net_worth,advisor_credit_hist_mos,advisor_firm_changes,advisor_credit_score,wholesaler,wholesaler_i,wholesaler_name
3117,0,no_advisor_sale,1,1,1,0,1,bank_broker,1,va,4,7,651637691,14,3080944,1,38,286177,68,4,850,17,Q,Quigley
3118,0,no_advisor_sale,0,1,0,1,1,bank_broker,1,va,3,4,3448846280,11,313624,2,34,163966,98,5,820,1,A,Abbott
3119,0,no_advisor_sale,1,1,0,1,0,captive,1,va,1,3,4845131277,11,45048,2,39,227852,83,1,793,6,F,Funderburk
3120,0,no_advisor_sale,1,1,1,0,1,bank_broker,1,va,5,0,341657140,1,276684,3,45,231454,89,3,673,16,P,Patel
3121,0,no_advisor_sale,0,1,1,1,1,bank_broker,1,va,2,0,13156202,15,2020776,1,34, ,62,5,847,12,L,Lula
3122,0,no_advisor_sale,0,1,1,1,1,bank_broker,1,va,2,5,920065906,14,3164968,2,39,243106,95,3,782,6,F,Funderburk
3123,0,no_advisor_sale,0,1,0,0,0,captive,1,va,5,0,943096128,35,1080879,1,31,298975,79,3,786,8,H,Hassan
3124,0,no_advisor_sale,1,0,0,1,1,bank_broker,1,va,4,6,3312832220,17,155272,1,74,457176,83,0,759,22,V,Vasquez
3125,0,no_advisor_sale,0,1,0,0,1,bank_broker,1,va,6,5,4294734691,11,2850060,2,39,149687,82,1,808,5,E,English
3126,0,no_advisor_sale,0,0,0,1,0,captive,1,va,2,3,359136840,20,41857,3,27,465897,62,1,716,25,Y,Yang
3127,0,no_advisor_sale,1,1,1,0,1,bank_broker,1,va,7,2,45942723,13,446395,3,37,290318,85,3,843,3,C,Chatterji
3128,0,no_advisor_sale,0,1,1,0,0,captive,1,va,3,2,66064601,7,82491,2,57,269548,58,5,797,1,A,Abbott
3129,0,no_advisor_sale,0,0,1,1,2,ria,1,va,2,3,308505539,15,4671997,2,45, ,86,4,780,8,H,Hassan
3130,0,no_advisor_sale,0,1,0,0,1,bank_broker,1,va,2,0,90606468,10,334944,2,25, ,52,5,785,15,O,Ojj
3131,0,no_advisor_sale,0,1,1,0,1,bank_broker,1,va,1,3,2983367506,16,1264602,3,52,141176,94,1,775,20,T,Tavares
3132,0,no_advisor_sale,1,0,1,0,1,bank_broker,1,va,3,0,928864648,8,968,2,66,169084,72,2,696,6,F,Funderburk
3133,0,no_advisor_sale,0,0,1,1,0,captive,1,va,2,0,693870527,16,328851,1,25,236007,93,1,727,1,A,Abbott
3134,0,no_advisor_sale,0,1,1,1,1,bank_broker,1,va,7,1,47730979,11,2534782,3,46,462461,61,3,647,6,F,Funderburk
3135,0,no_advisor_sale,1,0,0,1,2,ria,1,va,2,1,45282443,8,2132194,1,70, ,85,3,772,14,N,Noth
3136,0,no_advisor_sale,0,0,0,0,1,bank_broker,1,va,6,1,677639319,26,94704,3,41,196207,81,4,743,6,F,Funderburk
3137,0,no_advisor_sale,0,1,1,1,0,captive,1,va,4,3,87962822,12,1005850,3,57,297628,96,4,845,19,S,Szu
3138,0,no_advisor_sale,0,0,1,0,0,captive,1,va,5,7,798135238,20,405407,2,48,197275,55,4,754,5,E,English
3139,0,no_advisor_sale,0,1,0,0,1,bank_broker,1,va,3,0,950547619,12,3077556,1,60,216676,86,4,742,16,P,Patel
3140,0,no_advisor_sale,0,1,1,0,0,captive,1,va,0,1,478285310,8,2645187,1,50,116515,95,4,755,9,I,Ingrid
3141,0,no_advisor_sale,0,1,0,1,1,bank_broker,1,va,3,5,928868396,13,383256,1,63,465507,84,3,708,7,G,Griegio
3142,0,no_advisor_sale,0,1,0,0,1,bank_broker,1,va,4,2,286739146,22,4581237,2,40,352440,94,4,773,14,N,Noth
3143,0,no_advisor_sale,0,1,1,0,1,bank_broker,1,va,5,1,813246578,10,4517185,2,33,245384,57,4,820,19,S,Szu
3144,0,no_advisor_sale,0,1,0,0,1,bank_broker,0,fixed,4,3,24738709,23,1797125,5,61,110682,84,5,753,4,D,Devon
3145,0,no_advisor_sale,0,0,0,0,1,bank_broker,1,va,6,1,479392749,9,859558,3,43, ,86,4,699,18,R,Rodriguez
3146,0,no_advisor_sale,0,1,1,0,1,bank_broker,1,va,1,3,579548103,7,234109,2,51, ,92,1,774,18,R,Rodriguez
3147,0,no_advisor_sale,0,0,1,0,0,captive,1,va,7,4,857626541,24,3180942,3,60,255451,61,5,772,8,H,Hassan
3148,0,no_advisor_sale,1,1,0,0,1,bank_broker,1,va,4,6,198554121,20,4302420,2,47, ,81,0,721,19,S,Szu
3149,0,no_advisor_sale,0,0,0,1,1,bank_broker,1,va,1,1,4749450966,7,88223,2,51,147791,99,1,785,24,X,Xavier
3150,0,no_advisor_sale,0,0,0,0,1,bank_broker,1,va,6,2,3801276747,11,781689,3,23, ,82,1,752,10,J,Jasper
3151,0,no_advisor_sale,0,0,1,0,0,captive,1,va,1,2,3620842992,12,1798,2,44,163336,87,1,847,21,U,Underwood
3152,0,no_advisor_sale,1,0,1,0,0,captive,1,va,0,0,72019047,14,37266,3,32,144498,55,5,800,7,G,Griegio
3153,0,no_advisor_sale,0,0,0,0,0,captive,1,va,5,4,620582437,13,94485,3,49,62042,87,1,772,25,Y,Yang
3154,0,no_advisor_sale,0,1,0,1,0,captive,1,va,0,4,826860153,14,3598480,1,55,393074,77,5,743,9,I,Ingrid
3155,0,no_advisor_sale,0,1,1,1,1,bank_broker,1,va,2,2,2108515216,10,1072195,3,59,63719,61,1,730,4,D,Devon
3156,0,no_advisor_sale,1,0,0,1,1,bank_broker,1,va,2,2,3186733248,23,1402062,3,34,117764,97,5,695,21,U,Underwood
3157,0,no_advisor_sale,0,0,0,0,0,captive,1,va,1,6,51870360,10,3773768,1,43,276937,100,3,766,24,X,Xavier
3158,0,no_advisor_sale,1,0,1,0,1,bank_broker,1,va,6,0,4627836136,19,1491863,3,85,184045,53,5,690,18,R,Rodriguez
3159,0,no_advisor_sale,1,0,1,0,1,bank_broker,1,va,2,2,1732154406,21,1269601,3,33,230578,87,3,616,5,E,English
3160,0,no_advisor_sale,0,0,1,0,0,captive,1,va,3,0,55679341,14,357475,2,43,284942,94,2,835,22,V,Vasquez
3161,0,no_advisor_sale,0,1,1,1,0,captive,1,va,7,5,699685414,13,1163719,1,29,281649,82,4,703,9,I,Ingrid
3162,0,no_advisor_sale,0,1,1,0,1,bank_broker,1,va,2,0,944160800,12,13023,3,32, ,87,3,778,4,D,Devon
3163,0,no_advisor_sale,0,1,1,0,0,captive,1,va,1,1,67009561,13,175129,3,35,55671,53,2,718,14,N,Noth
3164,0,no_advisor_sale,0,1,0,1,1,bank_broker,1,va,1,1,581972083,17,2775709,2,23,174525,81,4,675,2,B,Bost
3165,0,no_advisor_sale,0,0,0,0,1,bank_broker,1,va,5,4,933339775,69,715936,3,32, ,85,4,735,17,Q,Quigley
3166,0,no_advisor_sale,0,1,1,0,1,bank_broker,1,va,4,6,26197202,11,4909890,3,29,272089,90,3,763,11,K,Kanumba
3167,0,no_advisor_sale,0,1,0,0,0,captive,1,va,1,0,720725584,10,150404,3,33,225691,84,5,837,1,A,Abbott
3168,0,no_advisor_sale,0,1,0,0,1,bank_broker,1,va,5,6,856414500,11,4772403,1,65,55176,89,4,776,17,Q,Quigley
3169,0,no_advisor_sale,0,1,1,0,0,captive,1,va,4,1,29533718,10,104470,3,67,246042,57,5,758,3,C,Chatterji
3170,0,no_advisor_sale,0,1,1,0,0,captive,1,va,6,1,734122681,18,1720582,2,31, ,66,5,687,11,K,Kanumba
3171,0,no_advisor_sale,1,1,1,0,1,bank_broker,1,va,6,3,683506740,7,359428,2,37,210240,88,3,703,5,E,English
3172,0,no_advisor_sale,1,1,1,1,1,bank_broker,1,va,5,4,4131302974,80,342539,1,27,475589,70,3,678,14,N,Noth
3173,0,no_advisor_sale,0,0,0,1,1,bank_broker,1,va,4,2,523870505,11,52410,2,67,233475,99,4,782,8,H,Hassan
3174,0,no_advisor_sale,0,0,1,0,1,bank_broker,1,va,1,3,2977739700,11,3165274,1,26,304061,84,1,828,4,D,Devon
3175,0,no_advisor_sale,0,1,0,0,2,ria,1,va,7,2,695037872,13,2084308,1,40, ,81,4,756,15,O,Ojj
3176,0,no_advisor_sale,0,1,1,0,1,bank_broker,1,va,3,7,600421574,16,1227948,2,22,202361,97,3,782,4,D,Devon
3177,0,no_advisor_sale,0,0,0,0,1,bank_broker,1,va,4,7,3780605118,13,872177,3,42,326027,84,4,576,9,I,Ingrid
3178,0,no_advisor_sale,1,0,1,0,1,bank_broker,1,va,4,0,700259638,2,3020796,1,27,280085,93,2,724,8,H,Hassan
3179,0,no_advisor_sale,0,0,0,0,0,captive,1,va,1,3,921766173,9,3791402,3,69, ,97,5,783,5,E,English
3180,0,no_advisor_sale,1,0,1,0,0,captive,1,va,4,0,60279942,14,947400,3,54,100794,92,5,779,21,U,Underwood
3181,0,no_advisor_sale,0,0,1,1,0,captive,1,va,2,0,740727446,24,177533,2,44,74048,81,2,775,13,M,Mambwe
3182,0,no_advisor_sale,0,1,1,0,1,bank_broker,1,va,7,4,584327825,11,456871,2,31, ,87,3,782,11,K,Kanumba
3183,0,no_advisor_sale,1,1,1,0,1,bank_broker,1,va,3,1,272178233,15,420637,1,79,152466,100,3,772,16,P,Patel
3184,0,no_advisor_sale,0,0,1,1,1,bank_broker,1,va,5,5,599748852,19,2477547,3,50, ,87,4,726,4,D,Devon
3185,0,no_advisor_sale,0,0,1,1,1,bank_broker,1,va,7,6,751229220,4,190617,3,19,256518,76,3,653,22,V,Vasquez
3186,0,no_advisor_sale,0,1,1,0,0,captive,1,va,3,4,937060036,20,442949,3,52,88796,90,5,717,17,Q,Quigley
3187,0,no_advisor_sale,1,1,0,0,0,captive,1,va,4,6,790395726,11,97224,1,35,103006,41,3,793,4,D,Devon
3188,0,no_advisor_sale,0,1,1,0,1,bank_broker,1,va,7,7,828915364,13,30411,1,27,138357,99,3,777,13,M,Mambwe
3189,0,no_advisor_sale,0,1,0,1,0,captive,1,va,6,1,361883016,15,4238789,3,21,260782,83,4,749,14,N,Noth
3190,0,no_advisor_sale,1,1,1,1,1,bank_broker,1,va,1,3,820021864,8,2197418,1,55,419601,87,4,716,20,T,Tavares
3191,0,no_advisor_sale,1,0,1,0,2,ria,1,va,7,6,87366949,26,3052959,1,23,156346,86,3,767,20,T,Tavares
3192,0,no_advisor_sale,1,1,1,1,2,ria,1,va,1,3,981636858,7,407435,1,87,398870,76,4,781,1,A,Abbott
3193,0,no_advisor_sale,0,1,1,0,2,ria,1,va,3,2,969385028,15,25709,2,65, ,79,3,765,10,J,Jasper
3194,0,no_advisor_sale,0,1,0,0,1,bank_broker,1,va,2,2,617472127,21,334785,1,28,268645,85,5,767,15,O,Ojj
3195,0,no_advisor_sale,0,1,0,0,1,bank_broker,1,va,5,2,849047319,12,2793414,3,28,87508,94,4,782,20,T,Tavares
3196,0,no_advisor_sale,0,0,0,0,1,bank_broker,1,va,2,0,499447109,13,2494024,3,59, ,57,4,840,6,F,Funderburk
3197,0,no_advisor_sale,1,0,1,0,0,captive,1,va,3,3,844123197,35,451738,1,51,421091,85,5,791,25,Y,Yang
3198,0,no_advisor_sale,0,1,1,0,1,bank_broker,1,va,2,5,87248640,14,2532316,3,19,246616,94,4,843,7,G,Griegio
3199,0,no_advisor_sale,0,0,0,1,1,bank_broker,1,va,2,1,67269501,7,447442,2,21,255449,76,4,845,16,P,Patel
3200,0,no_advisor_sale,0,1,0,0,1,bank_broker,1,va,4,1,946025325,1,3652429,3,47,253020,96,2,772,10,J,Jasper
3201,0,no_advisor_sale,0,0,0,0,1,bank_broker,1,va,2,2,153085342,18,117633,2,33,247987,99,5,842,16,P,Patel
3202,0,no_advisor_sale,0,0,0,0,1,bank_broker,1,va,2,4,793362590,8,3216527,2,33,287584,83,2,730,21,U,Underwood
3203,0,no_advisor_sale,1,1,1,0,0,captive,1,va,4,5,1115653933,13,893941,2,49,229154,99,3,711,10,J,Jasper
3204,0,no_advisor_sale,0,0,0,0,0,captive,1,va,1,0,937461268,13,4976876,3,48,237149,37,5,841,21,U,Underwood
3205,0,no_advisor_sale,1,0,1,1,1,bank_broker,1,va,4,3,21958436,15,455423,2,58, ,98,3,752,16,P,Patel
3206,0,no_advisor_sale,1,1,0,1,1,bank_broker,1,va,6,2,994444808,15,482647,3,34,89932,88,3,704,21,U,Underwood
3207,0,no_advisor_sale,1,1,1,0,1,bank_broker,1,va,3,2,881043788,14,66911,2,32,155187,81,1,738,8,H,Hassan
3208,0,no_advisor_sale,0,1,0,0,0,captive,1,va,4,0,46214900,11,3068210,2,26,68023,98,5,789,6,F,Funderburk
3209,0,no_advisor_sale,0,1,0,1,2,ria,1,va,7,0,518579251,27,2592801,1,31,59463,99,4,791,9,I,Ingrid
3210,0,no_advisor_sale,0,0,1,0,1,bank_broker,0,fixed,2,0,4352980352,17,1434024,13,69,93501,94,4,635,15,O,Ojj
3211,0,no_advisor_sale,0,1,0,1,1,bank_broker,1,va,2,5,67885468,8,1113905,1,29,76345,80,2,766,9,I,Ingrid
3212,0,no_advisor_sale,0,0,1,1,1,bank_broker,1,va,2,3,539570025,17,1829851,2,40,95948,88,1,783,15,O,Ojj
3213,0,no_advisor_sale,0,0,1,0,0,captive,1,va,3,0,696674709,17,1201833,2,27,272776,81,1,799,11,K,Kanumba
3214,0,no_advisor_sale,0,1,1,0,0,captive,1,va,2,1,4206598203,11,86554,1,28,477670,91,2,729,18,R,Rodriguez
3215,0,no_advisor_sale,0,0,1,0,0,captive,1,va,3,4,83122238,13,9239,1,40, ,78,5,792,2,B,Bost
3216,0,no_advisor_sale,0,1,0,0,1,bank_broker,1,va,0,0,661435100,19,210486,1,22,210003,91,4,819,10,J,Jasper
3217,0,no_advisor_sale,0,0,0,1,1,bank_broker,1,va,2,0,3038402877,9,4044019,2,34,369554,90,3,780,4,D,Devon
3218,0,no_advisor_sale,0,1,1,0,1,bank_broker,1,va,1,4,883529236,7,2383803,2,22,148606,100,2,738,25,Y,Yang
3219,0,no_advisor_sale,0,0,1,1,1,bank_broker,1,va,3,7,579472641,12,275966,3,33, ,87,1,773,13,M,Mambwe
3220,0,no_advisor_sale,0,0,0,0,0,captive,1,va,4,5,80227629,2,4431,1,86,251060,84,4,739,9,I,Ingrid
3221,0,no_advisor_sale,0,0,0,0,1,bank_broker,1,va,1,7,3236381781,12,711462,2,43,101982,87,5,799,10,J,Jasper
3222,0,no_advisor_sale,0,1,0,1,1,bank_broker,1,va,2,2,689379562,20,4130102,1,69,174992,98,5,813,13,M,Mambwe
3223,0,no_advisor_sale,1,0,1,0,1,bank_broker,1,va,4,0,160462480,18,351703,2,60,115316,85,4,794,14,N,Noth
3224,0,no_advisor_sale,0,1,1,0,1,bank_broker,1,va,5,2,97746940,11,3899225,1,23, ,31,0,763,9,I,Ingrid
3225,0,no_advisor_sale,1,0,1,1,1,bank_broker,1,va,3,4,754143257,11,40837,2,48,142551,92,3,716,23,W,Werner
3226,0,no_advisor_sale,0,1,1,0,1,bank_broker,1,va,5,1,4249402349,13,446249,2,43, ,94,2,538,20,T,Tavares
3227,0,no_advisor_sale,0,0,0,1,0,captive,1,va,7,3,895232754,13,4951145,1,69,240077,74,4,718,7,G,Griegio
3228,0,no_advisor_sale,1,1,1,0,1,bank_broker,1,va,2,1,2544771029,15,2790797,1,21,157903,94,4,807,1,A,Abbott
3229,0,no_advisor_sale,0,0,1,1,2,ria,1,va,4,3,603466589,15,352899,3,49,75854,99,5,793,9,I,Ingrid
3230,0,no_advisor_sale,0,0,0,1,0,captive,1,va,3,7,813930768,7,3015226,2,29,285909,52,5,712,8,H,Hassan
3231,0,no_advisor_sale,1,0,1,1,1,bank_broker,0,fixed,4,2,2871988226,13,463343,4,23,182279,68,5,720,15,O,Ojj
3232,0,no_advisor_sale,0,1,1,0,0,captive,1,va,3,4,900251744,19,421103,2,49,56317,79,5,792,20,T,Tavares
3233,0,no_advisor_sale,0,0,1,1,1,bank_broker,1,va,5,6,173467949,18,75473,1,44,51527,27,4,717,3,C,Chatterji
3234,0,no_advisor_sale,0,0,0,0,2,ria,1,va,1,6,613815878,17,452521,1,34,221547,95,4,780,14,N,Noth
3235,0,no_advisor_sale,0,1,1,1,1,bank_broker,1,va,2,3,920569311,11,162421,2,32,432189,89,3,780,14,N,Noth
3236,0,no_advisor_sale,1,0,1,0,1,bank_broker,1,va,5,2,697381716,8,97179,3,37,120104,84,5,679,2,B,Bost
3237,0,no_advisor_sale,0,0,0,1,1,bank_broker,1,va,5,3,2842453664,7,1596694,3,34,51020,83,3,812,8,H,Hassan
3238,0,no_advisor_sale,0,1,1,0,1,bank_broker,1,va,6,5,3525155737,9,64856,3,49, ,88,4,756,20,T,Tavares
3239,0,no_advisor_sale,0,1,1,0,1,bank_broker,0,fixed,3,5,10788038,18,4519803,4,34,131710,82,3,683,18,R,Rodriguez
3240,0,no_advisor_sale,0,0,1,0,1,bank_broker,1,va,2,0,779347479,15,1768147,2,42,150195,79,4,647,17,Q,Quigley
3241,0,no_advisor_sale,1,1,1,1,0,captive,1,va,2,6,397338721,18,2352397,1,59,170061,93,4,774,15,O,Ojj
3242,0,no_advisor_sale,0,0,1,0,1,bank_broker,1,va,7,5,728131701,7,252771,3,24,181509,95,3,796,6,F,Funderburk
3243,0,no_advisor_sale,0,1,0,0,0,captive,1,va,1,0,1458794110,16,3916952,2,59,58315,99,4,725,2,B,Bost
3244,0,no_advisor_sale,0,1,0,0,0,captive,1,va,4,4,1974316168,17,62096,1,20,129246,100,3,842,20,T,Tavares
3245,0,no_advisor_sale,0,1,1,0,0,captive,1,va,4,6,62579319,23,785027,3,25,232861,96,2,846,13,M,Mambwe
3246,0,no_advisor_sale,1,1,1,1,0,captive,1,va,3,1,49073421,17,586776,3,20,99762,93,2,780,21,U,Underwood
3247,0,no_advisor_sale,0,1,1,1,1,bank_broker,1,va,3,4,419030126,14,471092,2,78, ,84,4,803,3,C,Chatterji
3248,0,no_advisor_sale,0,0,1,1,1,bank_broker,1,va,2,2,159335983,9,1738870,1,57,90508,90,1,811,9,I,Ingrid
3249,0,no_advisor_sale,0,0,1,1,1,bank_broker,1,va,4,0,99682922,10,3354772,2,32,107034,90,5,784,25,Y,Yang
3250,0,no_advisor_sale,0,1,1,0,0,captive,1,va,3,6,362000067,12,1220641,2,61,197068,94,2,763,18,R,Rodriguez
3251,0,no_advisor_sale,0,0,1,0,1,bank_broker,1,va,4,6,113255464,24,321628,1,38,62791,80,5,743,5,E,English
3252,0,no_advisor_sale,0,1,0,0,1,bank_broker,1,va,0,1,346085641,11,3577,3,22,221248,100,1,675,21,U,Underwood
3253,0,no_advisor_sale,0,0,1,1,0,captive,1,va,3,7,503173317,8,4697555,1,35, ,89,4,790,11,K,Kanumba
3254,0,no_advisor_sale,1,0,1,0,1,bank_broker,1,va,6,4,979608801,14,1123538,3,22,270496,80,3,735,2,B,Bost
3255,0,no_advisor_sale,1,1,1,0,1,bank_broker,1,va,4,3,921572395,9,2457782,3,24,342376,99,1,789,11,K,Kanumba
3256,0,no_advisor_sale,0,0,1,0,1,bank_broker,1,va,2,2,473956878,7,949203,2,39,461538,85,1,719,4,D,Devon
3257,0,no_advisor_sale,0,0,1,1,1,bank_broker,1,va,5,2,823067157,18,222241,2,19,276222,71,1,634,23,W,Werner
3258,0,no_advisor_sale,0,1,0,0,1,bank_broker,1,va,6,4,889061493,8,1151848,3,50,250129,56,1,801,21,U,Underwood
3259,0,no_advisor_sale,0,0,1,0,1,bank_broker,1,va,2,2,51555531,8,42035,1,52,220740,85,1,794,2,B,Bost
3260,0,no_advisor_sale,0,1,0,1,0,captive,1,va,1,4,746697273,18,438422,3,52,102298,73,1,686,5,E,English
3261,0,no_advisor_sale,1,0,0,0,1,bank_broker,1,va,6,0,94368605,13,3186099,3,21,95006,87,4,748,18,R,Rodriguez
3262,0,no_advisor_sale,1,0,1,0,1,bank_broker,1,va,7,0,1162368925,15,2178441,1,35,133809,87,0,767,20,T,Tavares
3263,0,no_advisor_sale,0,1,0,0,1,bank_broker,1,va,6,2,265075614,16,2338419,1,50,81099,70,4,738,6,F,Funderburk
3264,0,no_advisor_sale,0,0,0,0,1,bank_broker,1,va,7,4,458728800,18,24953,3,32,56768,76,5,765,19,S,Szu
3265,0,no_advisor_sale,0,1,1,0,1,bank_broker,1,va,3,4,97844861,9,2422626,1,69,234416,89,2,711,20,T,Tavares
3266,0,no_advisor_sale,0,0,1,0,0,captive,1,va,4,2,168279361,24,262572,1,59,162990,90,5,818,21,U,Underwood
3267,0,no_advisor_sale,0,0,1,0,1,bank_broker,1,va,4,6,1548880594,7,140597,1,50,180015,87,5,712,15,O,Ojj
3268,0,no_advisor_sale,0,0,1,0,1,bank_broker,1,va,1,6,493020992,13,1186642,1,56,127223,72,3,766,22,V,Vasquez
3269,0,no_advisor_sale,0,0,1,0,1,bank_broker,1,va,3,0,3059353834,27,3222031,3,45,270757,78,3,711,12,L,Lula
3270,0,no_advisor_sale,0,1,1,0,0,captive,1,va,6,1,943394812,13,453853,2,20,480821,85,4,703,25,Y,Yang
3271,0,no_advisor_sale,0,0,1,0,1,bank_broker,1,va,6,1,2880966645,15,3478982,3,49,467647,66,3,752,6,F,Funderburk
3272,0,no_advisor_sale,0,1,1,0,1,bank_broker,1,va,1,5,47660794,8,11828,3,73,131842,92,3,656,7,G,Griegio
3273,0,no_advisor_sale,0,0,1,0,0,captive,1,va,7,3,84632494,8,34078,1,50,55710,90,5,707,19,S,Szu
3274,0,no_advisor_sale,1,1,1,1,0,captive,1,va,3,0,984750047,7,2418418,1,52,126295,82,3,709,1,A,Abbott
3275,0,no_advisor_sale,1,0,1,0,2,ria,1,va,2,1,933362328,23,321749,3,31,132746,51,3,836,5,E,English
3276,0,no_advisor_sale,0,1,1,1,1,bank_broker,1,va,1,3,26670312,17,3757722,2,20,219975,53,4,777,9,I,Ingrid
3277,0,no_advisor_sale,1,1,0,1,1,bank_broker,1,va,7,6,1350358074,9,12142,3,53,255716,87,5,784,11,K,Kanumba
3278,0,no_advisor_sale,1,0,1,0,2,ria,1,va,1,2,788111429,12,1828915,1,43,393288,86,1,753,21,U,Underwood
3279,0,no_advisor_sale,1,0,1,1,0,captive,0,fixed,5,3,80461478,64,1147288,6,24,53599,97,1,613,12,L,Lula
3280,0,no_advisor_sale,1,1,1,1,1,bank_broker,1,va,1,0,67668572,14,3039947,2,45,166829,78,5,747,15,O,Ojj
3281,0,no_advisor_sale,0,1,1,1,2,ria,1,va,4,4,869387497,8,352943,1,87,217603,93,5,708,21,U,Underwood
3282,0,no_advisor_sale,0,0,1,1,1,bank_broker,1,va,5,6,2666095583,13,1260173,1,33,201797,84,4,782,2,B,Bost
3283,0,no_advisor_sale,1,0,1,0,0,captive,1,va,4,4,798698993,10,1410816,1,46,95758,94,3,657,22,V,Vasquez
3284,0,no_advisor_sale,1,1,0,0,1,bank_broker,1,va,5,2,896614880,15,867362,1,26,248089,99,3,708,11,K,Kanumba
3285,0,no_advisor_sale,0,0,0,1,1,bank_broker,1,va,7,5,1544775795,17,411536,3,25,60789,98,4,696,10,J,Jasper
3286,0,no_advisor_sale,0,0,1,1,0,captive,1,va,6,0,2809449368,9,35487,2,27,145169,51,5,719,18,R,Rodriguez
3287,0,no_advisor_sale,0,1,1,0,1,bank_broker,1,va,1,3,868599780,8,633027,1,25,86607,51,4,790,9,I,Ingrid
3288,0,no_advisor_sale,0,0,0,0,0,captive,1,va,7,7,2921994513,14,4583232,3,79, ,78,2,717,17,Q,Quigley
3289,0,no_advisor_sale,1,1,0,1,1,bank_broker,1,va,6,4,33985551,3,271805,3,40,195881,94,0,751,18,R,Rodriguez
3290,0,no_advisor_sale,0,1,1,0,1,bank_broker,1,va,0,2,3015915790,5,3335541,3,31,165927,77,1,618,8,H,Hassan
3291,0,no_advisor_sale,1,0,1,0,1,bank_broker,1,va,2,6,97044238,15,781756,1,28,212234,83,4,777,14,N,Noth
3292,0,no_advisor_sale,1,1,1,0,1,bank_broker,1,va,5,6,4169315804,14,98837,3,27,68421,96,5,764,21,U,Underwood
3293,0,no_advisor_sale,1,0,0,0,0,captive,1,va,1,1,4077540867,12,58273,2,22,105925,94,5,716,5,E,English
3294,0,no_advisor_sale,1,0,1,0,0,captive,1,va,4,5,749288525,9,394337,2,28,211149,91,5,766,24,X,Xavier
3295,0,no_advisor_sale,0,0,1,0,1,bank_broker,1,va,1,1,931433629,15,60402,3,55,164074,83,3,773,20,T,Tavares
3296,0,no_advisor_sale,0,0,0,1,1,bank_broker,1,va,4,7,831368045,17,82843,1,31, ,53,3,799,18,R,Rodriguez
3297,0,no_advisor_sale,1,1,1,1,0,captive,1,va,1,5,3922476815,16,2942297,2,39, ,60,5,720,7,G,Griegio
3298,0,no_advisor_sale,0,1,1,0,1,bank_broker,1,va,1,4,606944369,21,4989173,2,55,112962,87,4,715,1,A,Abbott
3299,0,no_advisor_sale,1,1,0,1,0,captive,1,va,2,0,58150125,9,2447732,2,48,198726,83,3,845,20,T,Tavares
3300,0,no_advisor_sale,0,1,1,1,1,bank_broker,1,va,3,0,709664066,15,3097649,2,22,290785,79,4,776,25,Y,Yang
3301,0,no_advisor_sale,0,0,1,0,0,captive,1,va,4,1,561651667,14,3924037,3,62,164722,87,5,655,3,C,Chatterji
3302,0,no_advisor_sale,0,1,1,1,1,bank_broker,1,va,2,3,903761885,9,2064287,3,49,408226,89,4,794,2,B,Bost
3303,0,no_advisor_sale,1,0,1,1,1,bank_broker,1,va,6,1,2729387341,8,3165988,1,22,140905,100,4,704,8,H,Hassan
3304,0,no_advisor_sale,1,0,1,0,1,bank_broker,1,va,5,6,918725560,15,37749,2,82,195975,76,1,754,16,P,Patel
3305,0,no_advisor_sale,0,0,1,1,0,captive,1,va,3,0,2223827523,16,312533,2,49,158676,86,5,639,14,N,Noth
3306,0,no_advisor_sale,1,0,1,0,0,captive,1,va,2,5,889239846,7,1885465,1,39,252693,90,4,702,19,S,Szu
3307,0,no_advisor_sale,0,0,0,0,1,bank_broker,1,va,2,3,1003624966,10,436720,3,22,296748,82,5,756,12,L,Lula
3308,0,no_advisor_sale,1,1,1,1,0,captive,1,va,1,0,800553453,14,2883973,3,50,291420,90,3,707,15,O,Ojj
3309,0,no_advisor_sale,0,1,1,1,1,bank_broker,1,va,2,1,127049449,11,79044,2,54,284545,52,4,834,4,D,Devon
3310,0,no_advisor_sale,1,0,1,0,2,ria,1,va,3,1,2059942646,18,19839,3,27, ,76,5,780,24,X,Xavier
3311,0,no_advisor_sale,0,1,1,0,0,captive,1,va,3,3,300830360,16,1222606,3,59,118516,96,1,791,7,G,Griegio
3312,0,no_advisor_sale,1,0,0,0,1,bank_broker,1,va,3,2,30628097,17,466349,1,49, ,66,4,774,12,L,Lula
3313,0,no_advisor_sale,0,0,1,0,2,ria,1,va,2,5,16085244,8,18667,1,83,288484,86,1,736,20,T,Tavares
3314,0,no_advisor_sale,1,0,1,1,1,bank_broker,1,va,6,2,3331091379,32,2283068,3,21,123245,81,3,739,3,C,Chatterji
3315,0,no_advisor_sale,1,0,0,0,1,bank_broker,1,va,3,4,319266423,24,389942,3,45,181755,72,3,722,4,D,Devon
3316,0,no_advisor_sale,0,0,1,0,0,captive,1,va,5,3,845765235,9,442287,3,50,323072,100,1,722,2,B,Bost
3317,0,no_advisor_sale,1,1,0,1,0,captive,1,va,2,5,62876137,61,3792181,2,24,55097,71,3,776,21,U,Underwood
