acct_number,claim_indicator,new_driver,bundle,ever_deferred_payment,no_fault_state,marital_status,vehicle_history,num_auto_drivers,num_claims,deductible,liability_limit,num_prior_claims,claim_amt,income,policy_age_mos,owner_age,vehicle_age,auto_points,credit_score,avg_claim,claim_indicator_type,marital_status_type,vehicle_history_type,deductible_level,liability_limit_level,channel,channel_type
2850,0,0,0,0,0,2,1,1,0,5,3,0,0,27923,6,17,10,9,745,0,no_claim,divorced,potential_damage,1500,200000,2,crosssell
2851,0,0,0,0,0,1,1,1,0,6,6,1,0,18549,3,49,12,3,620,0,no_claim,married,potential_damage,2000,350000,2,crosssell
2852,0,0,1,0,0,0,0,1,0,3,5,4,0,114754,2,37,12,0,734,0,no_claim,single,no_damage,500,300000,1,agent
2853,0,0,0,0,0,1,0,1,0,6,2,5,0,30352,4,44,10,0,555,0,no_claim,married,no_damage,2000,150000,3,affinity
2854,0,0,0,0,0,0,0,2,0,2,3,1,0,32513,1,59,6,3,514,0,no_claim,single,no_damage,250,200000,2,crosssell
2855,0,0,0,0,0,0,1,2,0,6,2,2,0,73582,2,52,9,1,801,0,no_claim,single,potential_damage,2000,150000,0,website
2856,0,1,1,0,0,0,0,1,0,4,5,0,0,26134,8,68,10,3,677,0,no_claim,single,no_damage,1000,300000,1,agent
2857,0,0,1,1,0,1,1,1,0,3,2,0,0,39159,8,64,1,5,670,0,no_claim,married,potential_damage,500,150000,1,agent
2858,0,0,0,0,0,0,1,2,0,4,6,2,0,15955,4,41,1,4,728,0,no_claim,single,potential_damage,1000,350000,3,affinity
2859,0,0,0,1,0,0,0,1,0,3,1,0,0,250671,8,32,3,11,609,0,no_claim,single,no_damage,500,100000,0,website
2860,0,0,0,0,0,0,1,2,0,6,1,1,0,11152,3,43,8,2,619,0,no_claim,single,potential_damage,2000,100000,0,website
2861,0,0,0,1,0,1,0,1,0,2,0,0,0,9450,8,31,11,5,797,0,no_claim,married,no_damage,250,50000,3,affinity
2862,0,0,0,0,1,1,1,2,0,3,0,0,0,167203,48,62,8,1,737,0,no_claim,married,potential_damage,500,50000,1,agent
2863,0,0,1,0,0,0,1,1,0,1,6,0,0,15039,38,46,5,2,596,0,no_claim,single,potential_damage,100,350000,1,agent
2864,0,0,1,1,0,2,0,1,0,1,6,1,0,52872,18,40,6,4,688,0,no_claim,divorced,no_damage,100,350000,0,website
2865,0,0,0,0,0,1,0,1,0,0,4,2,0,8402,16,30,4,5,772,0,no_claim,married,no_damage,0,250000,1,agent
2866,0,1,0,0,0,0,1,1,0,5,3,2,0,7980,2,60,5,7,738,0,no_claim,single,potential_damage,1500,200000,1,agent
2867,0,0,0,0,0,0,0,1,0,4,6,0,0,27462,6,27,10,8,774,0,no_claim,single,no_damage,1000,350000,1,agent
2868,0,0,0,0,0,0,0,1,0,1,5,4,0,12289,23,26,9,5,683,0,no_claim,single,no_damage,100,300000,1,agent
2869,0,0,1,1,0,1,0,1,0,2,0,2,0,21400,42,67,10,2,592,0,no_claim,married,no_damage,250,50000,0,website
2870,0,0,0,0,1,0,0,1,0,0,7,0,0,31586,4,37,5,3,628,0,no_claim,single,no_damage,0,500000,3,affinity
2871,0,0,1,0,0,0,0,1,0,6,1,3,0,114136,9,41,11,6,704,0,no_claim,single,no_damage,2000,100000,2,crosssell
2872,0,0,0,0,0,0,0,2,0,3,6,0,0,21698,11,41,3,1,669,0,no_claim,single,no_damage,500,350000,0,website
2873,0,0,1,0,0,1,0,1,0,1,3,2,0,36985,4,37,14,2,583,0,no_claim,married,no_damage,100,200000,1,agent
2874,0,0,0,1,0,1,0,2,0,3,3,0,0,9720,10,84,5,11,726,0,no_claim,married,no_damage,500,200000,0,website
2875,0,0,1,0,0,0,0,1,0,3,2,3,0,56215,5,38,12,5,711,0,no_claim,single,no_damage,500,150000,2,crosssell
2876,0,1,0,0,0,1,0,1,0,1,4,1,0,11043,7,39,6,5,785,0,no_claim,married,no_damage,100,250000,2,crosssell
2877,0,0,0,0,0,1,1,1,0,1,3,0,0,21206,10,26,2,5,646,0,no_claim,married,potential_damage,100,200000,0,website
2878,0,0,1,0,0,0,0,1,0,3,1,0,0,17140,32,16,11,1,651,0,no_claim,single,no_damage,500,100000,3,affinity
2879,0,0,1,1,0,1,3,1,0,1,3,3,0,29340,5,19,0,4,723,0,no_claim,married,salvage,100,200000,2,crosssell
2880,0,1,1,1,0,0,0,4,0,3,5,2,0,15816,1,52,14,3,729,0,no_claim,single,no_damage,500,300000,2,crosssell
2881,0,0,0,0,1,2,3,1,0,6,2,3,0,9689,2,20,0,2,727,0,no_claim,divorced,salvage,2000,150000,3,affinity
2882,0,0,0,1,0,0,0,1,0,4,4,0,0,6906,1,37,8,1,651,0,no_claim,single,no_damage,1000,250000,2,crosssell
2883,0,0,0,1,0,0,0,2,0,1,6,0,0,7810,5,44,0,4,684,0,no_claim,single,no_damage,100,350000,1,agent
2884,0,0,0,0,0,1,0,1,0,2,5,0,0,92256,59,25,3,5,516,0,no_claim,married,no_damage,250,300000,3,affinity
2885,0,0,0,0,0,0,0,1,0,3,5,0,0,18769,13,35,9,1,808,0,no_claim,single,no_damage,500,300000,1,agent
2886,0,0,1,0,0,0,0,1,0,3,0,1,0,86086,2,33,12,7,649,0,no_claim,single,no_damage,500,50000,3,affinity
2887,0,0,0,0,1,0,0,1,0,3,7,0,0,8794,1,49,10,10,772,0,no_claim,single,no_damage,500,500000,3,affinity
2888,0,0,0,1,0,0,0,2,0,5,2,1,0,17393,3,53,4,3,714,0,no_claim,single,no_damage,1500,150000,0,website
2889,0,0,0,0,0,1,0,1,0,6,3,0,0,26701,6,35,8,6,749,0,no_claim,married,no_damage,2000,200000,2,crosssell
2890,0,0,0,0,0,0,0,2,0,1,4,1,0,43219,3,43,9,8,718,0,no_claim,single,no_damage,100,250000,3,affinity
2891,0,0,0,0,0,0,2,2,0,2,2,1,0,12998,4,35,8,11,659,0,no_claim,single,severe_damage,250,150000,3,affinity
2892,0,0,0,1,0,0,2,1,0,5,5,0,0,34094,60,37,10,13,737,0,no_claim,single,severe_damage,1500,300000,1,agent
2893,0,1,1,0,0,0,0,1,0,2,5,0,0,16380,23,37,10,2,774,0,no_claim,single,no_damage,250,300000,2,crosssell
2894,0,0,1,0,0,1,0,2,0,4,6,0,0,15776,5,66,2,5,706,0,no_claim,married,no_damage,1000,350000,3,affinity
2895,0,0,0,0,1,1,1,1,0,2,5,3,0,21392,3,33,8,14,686,0,no_claim,married,potential_damage,250,300000,0,website
2896,0,0,1,0,1,0,1,3,0,5,1,5,0,19829,12,55,4,7,625,0,no_claim,single,potential_damage,1500,100000,1,agent
2897,0,0,1,0,0,0,0,4,0,3,3,2,0,6317,12,16,15,4,744,0,no_claim,single,no_damage,500,200000,2,crosssell
2898,0,0,0,0,0,0,0,1,0,1,3,2,0,42652,11,41,12,4,718,0,no_claim,single,no_damage,100,200000,0,website
2899,0,0,1,0,1,1,0,1,0,3,3,2,0,70251,7,24,7,5,612,0,no_claim,married,no_damage,500,200000,0,website
2900,0,0,1,0,0,1,1,1,0,0,2,2,0,26189,6,16,4,3,688,0,no_claim,married,potential_damage,0,150000,0,website
2901,0,0,1,0,0,0,0,1,0,0,3,2,0,18896,1,34,6,6,695,0,no_claim,single,no_damage,0,200000,1,agent
2902,0,0,1,1,0,0,0,2,0,4,0,0,0,15209,11,35,11,1,793,0,no_claim,single,no_damage,1000,50000,2,crosssell
2903,0,0,0,1,0,0,1,2,0,2,3,0,0,9545,3,44,7,3,706,0,no_claim,single,potential_damage,250,200000,1,agent
2904,0,0,0,1,0,0,3,2,0,2,6,3,0,16418,2,17,15,5,628,0,no_claim,single,salvage,250,350000,0,website
2905,0,1,0,0,0,0,0,1,0,2,0,2,0,65153,21,44,0,5,641,0,no_claim,single,no_damage,250,50000,1,agent
2906,0,0,1,0,0,0,0,3,0,2,0,0,0,13468,4,31,9,2,508,0,no_claim,single,no_damage,250,50000,1,agent
2907,0,0,1,1,0,2,1,1,0,1,1,1,0,60377,2,32,2,10,736,0,no_claim,divorced,potential_damage,100,100000,0,website
2908,0,0,0,0,0,0,0,1,0,2,4,0,0,61841,14,40,3,2,702,0,no_claim,single,no_damage,250,250000,3,affinity
2909,0,1,0,1,0,0,0,1,0,3,6,2,0,6283,12,23,7,15,630,0,no_claim,single,no_damage,500,350000,3,affinity
2910,0,0,0,0,0,0,2,1,0,5,7,1,0,37725,12,17,13,3,665,0,no_claim,single,severe_damage,1500,500000,2,crosssell
2911,0,0,0,1,0,0,0,2,0,3,1,2,0,8726,5,65,9,0,749,0,no_claim,single,no_damage,500,100000,2,crosssell
2912,0,0,1,1,0,0,1,1,0,2,3,0,0,17810,29,45,11,1,670,0,no_claim,single,potential_damage,250,200000,1,agent
2913,0,0,1,0,0,0,3,2,0,3,7,1,0,85813,1,39,1,0,677,0,no_claim,single,salvage,500,500000,0,website
2914,0,0,0,0,0,0,1,1,0,6,3,2,0,32093,2,48,11,13,565,0,no_claim,single,potential_damage,2000,200000,0,website
2915,0,0,0,0,1,0,0,1,0,2,5,0,0,34362,4,53,8,4,780,0,no_claim,single,no_damage,250,300000,0,website
2916,0,0,1,1,0,1,0,2,0,3,5,2,0,32166,2,55,5,10,610,0,no_claim,married,no_damage,500,300000,2,crosssell
2917,0,0,0,0,0,0,3,1,0,4,0,1,0,31276,52,63,9,5,723,0,no_claim,single,salvage,1000,50000,3,affinity
2918,0,1,1,0,0,1,1,1,0,0,7,1,0,29784,2,21,5,7,839,0,no_claim,married,potential_damage,0,500000,0,website
2919,0,0,0,0,0,1,0,1,0,2,3,2,0,33168,7,55,11,6,711,0,no_claim,married,no_damage,250,200000,1,agent
2920,0,0,1,0,0,0,0,1,0,4,7,1,0,33470,14,40,6,2,739,0,no_claim,single,no_damage,1000,500000,2,crosssell
2921,0,1,0,0,0,2,0,2,0,2,2,0,0,31065,1,41,15,4,767,0,no_claim,divorced,no_damage,250,150000,2,crosssell
2922,0,0,1,0,0,1,1,1,0,3,2,3,0,9160,1,38,14,5,710,0,no_claim,married,potential_damage,500,150000,1,agent
2923,0,0,0,1,0,0,3,2,0,1,2,1,0,19569,20,45,8,1,648,0,no_claim,single,salvage,100,150000,2,crosssell
2924,0,0,0,0,0,1,0,1,0,2,7,3,0,34621,20,38,12,3,659,0,no_claim,married,no_damage,250,500000,3,affinity
2925,0,0,0,0,0,0,1,2,0,3,0,1,0,28726,6,61,0,10,637,0,no_claim,single,potential_damage,500,50000,0,website
2926,0,0,0,0,0,0,1,1,0,4,7,2,0,22406,49,18,6,5,699,0,no_claim,single,potential_damage,1000,500000,1,agent
2927,0,0,0,0,0,0,0,1,0,1,6,5,0,31357,1,42,2,5,739,0,no_claim,single,no_damage,100,350000,0,website
2928,0,0,0,0,0,0,0,1,0,2,2,0,0,9271,2,45,5,3,695,0,no_claim,single,no_damage,250,150000,3,affinity
2929,0,0,1,1,0,0,0,1,0,2,1,3,0,21114,8,32,14,4,795,0,no_claim,single,no_damage,250,100000,2,crosssell
2930,0,0,0,0,0,0,0,1,0,1,0,0,0,38828,19,43,9,2,688,0,no_claim,single,no_damage,100,50000,2,crosssell
2931,0,0,0,0,0,0,0,2,0,3,7,1,0,6768,3,23,9,7,691,0,no_claim,single,no_damage,500,500000,1,agent
2932,0,1,0,0,0,0,0,2,0,1,1,2,0,32560,5,81,14,11,741,0,no_claim,single,no_damage,100,100000,1,agent
2933,0,0,0,0,0,1,0,2,0,3,3,1,0,6951,2,31,8,1,655,0,no_claim,married,no_damage,500,200000,1,agent
2934,0,0,0,0,0,1,0,2,0,2,4,0,0,137378,13,24,9,5,692,0,no_claim,married,no_damage,250,250000,2,crosssell
2935,0,1,1,0,0,0,0,1,0,3,2,2,0,25846,4,75,4,2,768,0,no_claim,single,no_damage,500,150000,3,affinity
2936,0,0,0,0,0,0,0,1,0,6,6,5,0,100069,11,43,4,1,760,0,no_claim,single,no_damage,2000,350000,0,website
2937,0,0,1,0,0,1,1,1,0,2,0,4,0,25938,3,35,12,3,722,0,no_claim,married,potential_damage,250,50000,2,crosssell
2938,0,0,0,1,0,0,0,1,0,2,6,1,0,19669,10,46,4,0,729,0,no_claim,single,no_damage,250,350000,0,website
2939,0,1,0,0,0,0,2,1,0,3,6,2,0,20860,21,45,9,0,629,0,no_claim,single,severe_damage,500,350000,3,affinity
2940,0,0,1,0,0,0,0,2,0,2,2,1,0,140919,6,17,9,3,746,0,no_claim,single,no_damage,250,150000,1,agent
2941,0,0,0,0,0,0,0,1,0,1,1,0,0,5717,21,31,5,7,749,0,no_claim,single,no_damage,100,100000,0,website
2942,0,0,0,0,0,0,1,1,0,7,1,0,0,9427,1,36,6,0,659,0,no_claim,single,potential_damage,3000,100000,3,affinity
2943,0,0,0,0,0,0,0,2,0,2,5,2,0,23941,21,36,7,3,656,0,no_claim,single,no_damage,250,300000,2,crosssell
2944,0,0,0,1,0,1,0,1,0,2,0,0,0,14549,5,24,14,5,615,0,no_claim,married,no_damage,250,50000,0,website
2945,0,0,0,1,0,2,1,1,0,4,6,0,0,36017,10,47,2,3,737,0,no_claim,divorced,potential_damage,1000,350000,0,website
2946,0,0,0,0,0,0,3,2,0,3,4,1,0,9878,6,36,14,4,653,0,no_claim,single,salvage,500,250000,0,website
2947,0,0,1,0,0,0,0,2,0,3,3,2,0,283941,8,17,8,8,705,0,no_claim,single,no_damage,500,200000,2,crosssell
2948,0,0,1,1,0,1,0,1,0,4,2,1,0,38713,3,31,8,1,704,0,no_claim,married,no_damage,1000,150000,3,affinity
2949,0,0,1,0,0,0,0,1,0,3,2,2,0,33650,8,44,4,2,614,0,no_claim,single,no_damage,500,150000,0,website
2950,0,0,1,0,0,1,0,1,0,2,1,0,0,9794,16,62,14,5,655,0,no_claim,married,no_damage,250,100000,3,affinity
2951,0,0,1,0,0,0,1,1,0,7,4,0,0,32566,4,23,5,5,613,0,no_claim,single,potential_damage,3000,250000,0,website
2952,0,0,0,1,0,1,1,1,0,2,1,2,0,13820,14,60,0,0,731,0,no_claim,married,potential_damage,250,100000,3,affinity
2953,0,0,1,0,0,0,1,1,0,5,0,0,0,27417,11,21,5,7,729,0,no_claim,single,potential_damage,1500,50000,2,crosssell
2954,0,0,0,0,0,0,0,1,0,5,1,0,0,79369,19,34,10,4,701,0,no_claim,single,no_damage,1500,100000,1,agent
2955,0,0,0,0,0,1,0,1,0,4,2,0,0,198631,55,23,4,10,791,0,no_claim,married,no_damage,1000,150000,2,crosssell
2956,0,0,0,1,0,1,1,1,0,4,6,1,0,5324,3,42,5,4,728,0,no_claim,married,potential_damage,1000,350000,2,crosssell
2957,0,0,0,1,1,0,0,1,0,4,2,0,0,35248,5,43,13,11,717,0,no_claim,single,no_damage,1000,150000,2,crosssell
2958,0,0,1,1,0,1,0,2,0,2,4,6,0,38545,12,22,8,10,663,0,no_claim,married,no_damage,250,250000,1,agent
2959,0,0,1,1,0,0,0,2,0,1,3,1,0,17391,4,47,15,8,748,0,no_claim,single,no_damage,100,200000,2,crosssell
2960,0,0,1,0,0,0,1,2,0,2,0,2,0,6018,44,36,3,1,798,0,no_claim,single,potential_damage,250,50000,2,crosssell
2961,0,0,1,0,0,0,0,2,0,4,1,0,0,140435,13,43,1,6,774,0,no_claim,single,no_damage,1000,100000,1,agent
2962,0,0,0,0,1,0,2,3,0,2,6,1,0,25472,11,28,3,4,693,0,no_claim,single,severe_damage,250,350000,0,website
2963,0,0,0,1,0,1,0,1,0,4,0,0,0,37807,1,74,12,3,788,0,no_claim,married,no_damage,1000,50000,1,agent
2964,0,0,1,0,0,0,1,2,0,2,3,1,0,56439,19,40,11,5,590,0,no_claim,single,potential_damage,250,200000,1,agent
2965,0,0,1,1,0,0,0,1,0,1,7,0,0,218198,29,24,10,0,512,0,no_claim,single,no_damage,100,500000,3,affinity
2966,0,0,0,0,0,0,0,1,0,3,0,1,0,97681,8,29,12,4,761,0,no_claim,single,no_damage,500,50000,1,agent
2967,0,0,1,0,0,0,1,1,0,2,6,2,0,17665,5,49,1,2,705,0,no_claim,single,potential_damage,250,350000,1,agent
2968,0,0,1,0,0,2,0,4,0,2,1,0,0,7788,6,52,7,7,801,0,no_claim,divorced,no_damage,250,100000,0,website
2969,0,1,1,0,0,1,0,1,0,3,1,1,0,15156,16,21,15,3,710,0,no_claim,married,no_damage,500,100000,2,crosssell
2970,0,0,0,1,0,0,1,1,0,3,2,0,0,17128,3,36,14,5,711,0,no_claim,single,potential_damage,500,150000,1,agent
2971,0,0,0,0,0,0,0,1,0,1,1,3,0,17022,5,36,7,4,508,0,no_claim,single,no_damage,100,100000,3,affinity
2972,0,1,0,0,0,1,2,2,0,1,4,0,0,19837,9,53,15,6,664,0,no_claim,married,severe_damage,100,250000,0,website
2973,0,1,1,0,0,0,0,1,0,4,4,4,0,67707,20,44,9,0,736,0,no_claim,single,no_damage,1000,250000,1,agent
2974,0,0,0,1,0,1,1,1,0,1,4,0,0,22842,1,73,4,3,682,0,no_claim,married,potential_damage,100,250000,1,agent
2975,0,0,1,1,1,0,0,2,0,5,3,0,0,7424,11,19,6,2,695,0,no_claim,single,no_damage,1500,200000,3,affinity
2976,0,1,0,0,0,0,0,2,0,1,3,0,0,32894,31,59,9,5,622,0,no_claim,single,no_damage,100,200000,0,website
2977,0,0,0,0,0,0,0,1,0,3,2,1,0,16599,3,85,10,10,698,0,no_claim,single,no_damage,500,150000,2,crosssell
2978,0,0,1,0,0,0,1,1,0,5,7,0,0,94138,13,44,14,0,820,0,no_claim,single,potential_damage,1500,500000,3,affinity
2979,0,1,0,0,0,0,1,2,0,2,5,0,0,53401,6,27,8,6,736,0,no_claim,single,potential_damage,250,300000,1,agent
2980,0,0,0,0,0,1,0,2,0,2,5,0,0,144346,5,26,13,1,677,0,no_claim,married,no_damage,250,300000,3,affinity
2981,0,1,0,0,0,1,0,1,0,7,0,1,0,35424,6,21,11,7,608,0,no_claim,married,no_damage,3000,50000,2,crosssell
2982,0,0,0,0,1,1,0,2,0,3,5,0,0,24142,3,38,12,3,798,0,no_claim,married,no_damage,500,300000,3,affinity
2983,0,0,0,0,0,1,1,1,0,1,1,0,0,68236,2,20,5,3,601,0,no_claim,married,potential_damage,100,100000,3,affinity
2984,0,0,1,0,0,1,0,1,0,1,0,0,0,36913,51,33,9,15,788,0,no_claim,married,no_damage,100,50000,0,website
2985,0,1,1,1,0,1,1,2,0,2,5,2,0,25035,1,39,9,5,669,0,no_claim,married,potential_damage,250,300000,3,affinity
2986,0,0,0,0,0,0,1,1,0,2,5,2,0,26169,4,18,6,12,652,0,no_claim,single,potential_damage,250,300000,2,crosssell
2987,0,0,0,0,0,1,0,1,0,2,3,2,0,91574,11,37,13,15,708,0,no_claim,married,no_damage,250,200000,2,crosssell
2988,0,0,0,1,1,0,0,2,0,2,4,3,0,6272,6,79,8,1,721,0,no_claim,single,no_damage,250,250000,2,crosssell
2989,0,0,0,0,0,1,0,5,0,2,3,2,0,10299,4,24,5,7,585,0,no_claim,married,no_damage,250,200000,1,agent
2990,0,0,0,0,0,1,1,1,0,4,1,2,0,80572,8,46,8,5,709,0,no_claim,married,potential_damage,1000,100000,3,affinity
2991,0,1,1,0,0,0,0,1,0,4,5,1,0,72650,55,33,3,8,734,0,no_claim,single,no_damage,1000,300000,3,affinity
2992,0,0,0,0,0,1,1,2,0,5,2,0,0,29341,3,63,11,4,730,0,no_claim,married,potential_damage,1500,150000,1,agent
2993,0,1,1,0,0,0,0,2,0,1,5,2,0,20744,6,62,14,2,716,0,no_claim,single,no_damage,100,300000,1,agent
2994,0,0,1,0,0,1,0,1,0,1,2,1,0,9072,16,23,7,6,738,0,no_claim,married,no_damage,100,150000,1,agent
2995,0,0,0,1,0,2,1,1,0,2,7,3,0,13219,17,37,15,6,651,0,no_claim,divorced,potential_damage,250,500000,2,crosssell
2996,0,0,0,1,1,0,0,2,0,2,7,2,0,36509,6,42,10,4,722,0,no_claim,single,no_damage,250,500000,0,website
2997,0,0,0,0,0,0,2,1,0,2,3,0,0,56519,1,60,9,3,560,0,no_claim,single,severe_damage,250,200000,3,affinity
2998,0,0,0,0,0,0,0,1,0,3,2,0,0,9750,8,33,6,0,590,0,no_claim,single,no_damage,500,150000,3,affinity
2999,0,0,0,0,0,0,0,2,0,4,0,0,0,13475,9,47,5,1,715,0,no_claim,single,no_damage,1000,50000,2,crosssell
3000,0,0,1,0,0,2,1,1,0,2,1,4,0,10135,4,38,6,4,736,0,no_claim,divorced,potential_damage,250,100000,3,affinity
3001,0,0,0,0,0,0,0,1,0,3,4,0,0,44349,6,21,4,1,674,0,no_claim,single,no_damage,500,250000,1,agent
3002,0,0,1,0,0,0,0,1,0,2,7,1,0,38647,37,69,15,4,744,0,no_claim,single,no_damage,250,500000,1,agent
3003,0,1,0,0,0,1,0,1,0,4,0,2,0,9835,4,51,6,13,580,0,no_claim,married,no_damage,1000,50000,3,affinity
3004,0,0,0,0,0,0,2,1,0,1,6,1,0,10416,4,54,15,1,681,0,no_claim,single,severe_damage,100,350000,0,website
3005,0,0,0,0,0,0,0,1,0,4,5,4,0,21458,6,41,12,2,713,0,no_claim,single,no_damage,1000,300000,3,affinity
3006,0,0,1,0,0,0,0,2,0,3,0,0,0,11387,10,48,2,2,684,0,no_claim,single,no_damage,500,50000,1,agent
3007,0,0,1,0,0,0,0,4,0,3,0,1,0,8218,23,42,12,5,693,0,no_claim,single,no_damage,500,50000,0,website
3008,0,0,1,0,0,1,0,1,0,1,1,1,0,29753,5,44,10,1,613,0,no_claim,married,no_damage,100,100000,3,affinity
3009,0,0,1,1,1,0,0,1,0,1,2,1,0,15681,8,57,11,5,743,0,no_claim,single,no_damage,100,150000,1,agent
3010,0,0,0,0,0,0,0,1,0,2,4,3,0,5751,1,56,7,6,504,0,no_claim,single,no_damage,250,250000,2,crosssell
3011,0,1,1,0,0,0,3,1,0,2,2,0,0,46526,11,27,1,4,741,0,no_claim,single,salvage,250,150000,0,website
3012,0,0,0,0,1,0,1,2,0,4,3,1,0,40176,4,44,4,5,731,0,no_claim,single,potential_damage,1000,200000,0,website
3013,0,0,0,0,0,0,2,2,0,5,4,2,0,40949,2,27,7,5,760,0,no_claim,single,severe_damage,1500,250000,3,affinity
3014,0,1,0,0,0,0,0,2,0,3,2,0,0,12753,9,42,12,6,742,0,no_claim,single,no_damage,500,150000,3,affinity
3015,0,0,0,0,1,1,0,1,0,3,2,1,0,6936,24,42,7,1,552,0,no_claim,married,no_damage,500,150000,1,agent
3016,0,0,1,0,0,0,1,1,0,3,3,1,0,9144,24,24,4,5,791,0,no_claim,single,potential_damage,500,200000,3,affinity
3017,0,0,0,0,0,1,0,1,0,3,1,1,0,6829,2,44,8,2,606,0,no_claim,married,no_damage,500,100000,1,agent
3018,0,0,0,0,1,1,1,1,0,4,6,2,0,68512,31,75,6,5,659,0,no_claim,married,potential_damage,1000,350000,3,affinity
3019,0,0,0,1,0,1,0,1,0,1,3,2,0,11896,8,42,10,0,711,0,no_claim,married,no_damage,100,200000,2,crosssell
3020,0,0,0,0,0,0,1,2,0,2,1,2,0,33348,5,40,4,0,725,0,no_claim,single,potential_damage,250,100000,2,crosssell
3021,0,0,1,0,0,1,0,1,0,2,2,1,0,22752,32,31,1,6,673,0,no_claim,married,no_damage,250,150000,0,website
3022,0,0,1,0,0,0,1,2,0,2,5,0,0,34998,40,22,8,5,800,0,no_claim,single,potential_damage,250,300000,0,website
3023,0,0,0,1,1,1,0,1,0,1,5,0,0,17214,5,40,15,1,748,0,no_claim,married,no_damage,100,300000,1,agent
3024,0,1,0,0,0,0,0,1,0,3,7,2,0,18793,1,22,7,5,565,0,no_claim,single,no_damage,500,500000,2,crosssell
3025,0,0,0,0,0,0,0,2,0,3,7,4,0,20242,20,51,9,6,839,0,no_claim,single,no_damage,500,500000,2,crosssell
3026,0,0,0,1,0,0,1,2,0,4,1,2,0,17973,9,48,12,3,712,0,no_claim,single,potential_damage,1000,100000,1,agent
3027,0,0,0,1,0,1,1,2,0,1,1,1,0,33262,1,31,5,3,627,0,no_claim,married,potential_damage,100,100000,0,website
3028,0,0,0,1,0,0,0,2,0,2,3,0,0,33280,9,47,3,1,702,0,no_claim,single,no_damage,250,200000,0,website
3029,0,0,0,0,0,1,0,2,0,4,2,1,0,22129,6,18,11,4,701,0,no_claim,married,no_damage,1000,150000,3,affinity
3030,0,0,0,0,0,0,0,1,0,5,2,2,0,10773,3,16,4,5,659,0,no_claim,single,no_damage,1500,150000,3,affinity
3031,0,0,0,1,0,0,1,1,0,3,2,0,0,16319,4,68,7,5,711,0,no_claim,single,potential_damage,500,150000,1,agent
3032,0,0,0,1,0,1,2,2,0,3,5,2,0,29401,43,33,0,4,717,0,no_claim,married,severe_damage,500,300000,1,agent
3033,0,1,0,0,0,1,0,3,0,1,3,5,0,38869,34,38,6,6,612,0,no_claim,married,no_damage,100,200000,3,affinity
3034,0,0,0,0,0,0,0,1,0,2,5,2,0,8739,18,61,4,1,518,0,no_claim,single,no_damage,250,300000,3,affinity
3035,0,0,0,0,1,0,0,1,0,2,3,2,0,15814,8,43,13,12,725,0,no_claim,single,no_damage,250,200000,3,affinity
3036,0,0,0,0,0,0,2,2,0,1,2,0,0,25394,2,31,13,2,785,0,no_claim,single,severe_damage,100,150000,1,agent
3037,0,0,1,1,0,0,0,1,0,4,5,0,0,14901,10,72,2,4,671,0,no_claim,single,no_damage,1000,300000,3,affinity
3038,0,0,0,0,0,0,0,1,0,4,7,0,0,13891,14,40,7,4,691,0,no_claim,single,no_damage,1000,500000,2,crosssell
3039,0,0,0,0,0,0,3,1,0,5,2,0,0,12474,18,62,7,4,738,0,no_claim,single,salvage,1500,150000,1,agent
3040,0,0,0,0,0,0,0,1,0,4,2,3,0,23769,22,37,3,6,735,0,no_claim,single,no_damage,1000,150000,0,website
3041,0,1,0,1,0,1,0,1,0,3,5,0,0,9649,11,37,14,1,652,0,no_claim,married,no_damage,500,300000,3,affinity
3042,0,0,0,0,0,2,1,1,0,4,0,2,0,14942,8,50,15,4,800,0,no_claim,divorced,potential_damage,1000,50000,0,website
3043,0,0,1,0,0,0,2,2,0,2,2,2,0,21644,2,44,9,13,789,0,no_claim,single,severe_damage,250,150000,2,crosssell
3044,0,0,0,0,0,2,2,2,0,1,4,0,0,8862,33,28,12,4,591,0,no_claim,divorced,severe_damage,100,250000,3,affinity
3045,0,0,1,0,1,1,0,2,0,2,1,1,0,22789,7,64,2,3,782,0,no_claim,married,no_damage,250,100000,2,crosssell
3046,0,0,1,0,1,0,0,1,0,3,5,0,0,21272,6,26,2,5,718,0,no_claim,single,no_damage,500,300000,2,crosssell
3047,0,1,0,0,0,0,2,2,0,1,1,2,0,10936,47,19,2,0,713,0,no_claim,single,severe_damage,100,100000,0,website
3048,0,0,0,0,0,1,2,2,0,1,0,0,0,47995,3,31,7,12,766,0,no_claim,married,severe_damage,100,50000,1,agent
3049,0,0,0,1,0,0,1,2,0,3,4,2,0,14023,6,36,8,5,724,0,no_claim,single,potential_damage,500,250000,0,website
3050,0,0,1,0,0,0,0,2,0,2,1,4,0,115120,34,45,12,4,587,0,no_claim,single,no_damage,250,100000,1,agent
3051,0,0,0,0,0,0,2,1,0,1,0,2,0,33712,3,72,5,2,667,0,no_claim,single,severe_damage,100,50000,0,website
3052,0,0,0,0,0,0,0,1,0,2,0,2,0,19504,3,26,1,3,710,0,no_claim,single,no_damage,250,50000,2,crosssell
3053,0,0,0,1,0,0,0,1,0,1,5,2,0,90263,9,78,7,2,655,0,no_claim,single,no_damage,100,300000,3,affinity
3054,0,0,0,0,0,1,0,2,0,3,7,2,0,39725,20,64,9,4,555,0,no_claim,married,no_damage,500,500000,2,crosssell
